상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:39,5:39,5:39,5:57,5:57,5:57
5:51,5:51,5:51,6:11,6:11,6:11
6:02,6:02,6:02,6:25,6:25,6:25
6:12,6:12,6:12,6:37,6:37,6:37
6:22,6:22,6:22,6:48,6:48,6:48
6:31,6:31,6:31,6:58,6:58,6:58
6:40,6:40,6:40,7:08,7:08,7:08
6:48,6:48,6:48,7:17,7:17,7:17
6:56,6:56,6:56,7:26,7:25,7:25
7:04,7:04,7:04,7:34,7:33,7:33
7:11,7:12,7:12,7:41,7:41,7:41
7:18,7:20,7:20,7:47,7:49,7:49
7:25,7:28,7:28,7:53,7:57,7:57
7:32,7:36,7:36,7:59,8:05,8:05
7:37,7:44,7:44,8:05,8:13,8:13
7:42,7:51,7:52,8:10,8:20,8:21
7:47,7:58,8:00,8:15,8:27,8:29
7:52,8:05,8:08,8:20,8:34,8:37
7:57,8:12,8:16,8:25,8:41,8:45
8:02,8:19,8:24,8:30,8:48,8:53
8:07,8:26,8:32,8:35,8:55,9:01
8:12,8:33,8:40,8:40,9:02,9:09
8:17,8:40,8:48,8:45,9:09,9:17
8:22,8:47,8:56,8:50,9:16,9:25
8:27,8:54,9:04,8:55,9:23,9:33
8:32,9:01,9:12,9:00,9:30,9:41
8:37,9:08,9:20,9:05,9:37,9:49
8:42,9:15,9:28,9:10,9:44,9:57
8:47,9:22,9:36,9:15,9:51,10:05
8:52,9:29,9:44,9:20,9:58,10:13
8:57,9:36,9:52,9:25,10:05,10:21
9:02,9:44,10:00,9:30,10:12,10:29
9:07,9:52,10:08,9:35,10:20,10:37
9:12,10:00,10:16,9:40,10:28,10:45
9:18,10:08,10:24,9:45,10:36,10:53
9:24,10:16,10:32,9:51,10:44,11:01
9:30,10:24,10:40,9:57,10:52,11:09
9:36,10:32,10:48,10:04,11:00,11:17
9:43,10:40,10:56,10:12,11:08,11:25
9:50,10:48,11:04,10:20,11:16,11:33
9:58,10:56,11:12,10:28,11:24,11:41
10:06,11:04,11:20,10:36,11:32,11:49
10:14,11:12,11:28,10:44,11:40,11:57
10:22,11:20,11:36,10:52,11:48,12:05
10:30,11:28,11:44,11:00,11:56,12:13
10:38,11:36,11:52,11:08,12:04,12:21
