상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:54,5:54,5:54,5:45,5:45,5:45
6:05,6:05,6:05,5:58,5:58,5:58
6:17,6:17,6:17,6:10,6:10,6:10
6:28,6:28,6:28,6:21,6:21,6:21
6:38,6:38,6:38,6:31,6:31,6:31
6:48,6:48,6:48,6:41,6:41,6:41
6:57,6:57,6:57,6:50,6:50,6:50
7:06,7:06,7:06,6:59,6:58,6:58
7:14,7:14,7:14,7:07,7:06,7:06
7:22,7:22,7:22,7:14,7:14,7:14
7:30,7:30,7:30,7:20,7:22,7:22
7:37,7:38,7:38,7:26,7:30,7:30
7:44,7:46,7:46,7:32,7:38,7:38
7:51,7:54,7:54,7:38,7:46,7:46
7:58,8:02,8:02,7:43,7:53,7:54
8:03,8:10,8:10,7:48,8:00,8:02
8:08,8:17,8:18,7:53,8:07,8:10
8:13,8:24,8:26,7:58,8:14,8:18
8:18,8:31,8:34,8:03,8:21,8:26
8:23,8:38,8:42,8:08,8:28,8:34
8:28,8:45,8:50,8:13,8:35,8:42
8:33,8:52,8:58,8:18,8:42,8:50
8:38,8:59,9:06,8:23,8:49,8:58
8:43,9:06,9:14,8:28,8:56,9:06
8:48,9:13,9:22,8:33,9:03,9:14
8:53,9:20,9:30,8:38,9:10,9:22
8:58,9:27,9:38,8:43,9:17,9:30
9:03,9:34,9:46,8:48,9:24,9:38
9:08,9:41,9:54,8:53,9:31,9:46
9:13,9:48,10:02,8:58,9:38,9:54
9:18,9:55,10:10,9:03,9:45,10:02
9:23,10:02,10:18,9:08,9:53,10:10
9:28,10:10,10:26,9:13,10:01,10:18
9:33,10:18,10:34,9:18,10:09,10:26
9:38,10:26,10:42,9:24,10:17,10:34
9:44,10:34,10:50,9:30,10:25,10:42
9:50,10:42,10:58,9:37,10:33,10:50
9:56,10:50,11:06,9:45,10:41,10:58
10:02,10:58,11:14,9:53,10:49,11:06
10:09,11:06,11:22,10:01,10:57,11:14
10:16,11:14,11:30,10:09,11:05,11:22
10:24,11:22,11:38,10:17,11:13,11:30
10:32,11:30,11:46,10:25,11:21,11:38
10:40,11:38,11:54,10:33,11:29,11:46
10:48,11:46,12:02,10:41,11:37,11:54
10:56,11:54,12:10,10:49,11:45,12:02
11:04,12:02,12:18,10:57,11:53,12:10
11:12,12:10,12:26,11:05,12:01,12:18
11:20,12:18,12:34,11:13,12:09,12:26
11:28,12:26,12:42,11:21,12:17,12:34
11:36,12:34,12:50,11:29,12:25,12:42
11:44,12:42,12:58,11:37,12:33,12:50
11:52,12:50,13:06,11:45,12:41,12:58
12:00,12:57,13:14,11:53,12:48,13:06
12:08,13:04,13:22,12:01,12:54,13:14
12:16,13:11,13:30,12:09,13:00,13:22
12:24,13:17,13:38,12:17,13:06,13:30
12:32,13:23,13:46,12:25,13:12,13:38
12:40,13:29,13:54,12:33,13:18,13:46
12:48,13:35,14:02,12:41,13:24,13:54
12:56,13:41,14:10,12:49,13:30,14:02
13:04,13:47,14:18,12:57,13:36,14:10
13:12,13:53,14:26,13:05,13:42,14:18
13:20,13:59,14:34,13:13,13:48,14:26
13:28,14:05,14:42,13:21,13:54,14:34
13:36,14:11,14:50,13:29,14:00,14:42
13:44,14:17,14:58,13:37,14:06,14:50
13:52,14:23,15:06,13:45,14:13,14:58
14:00,14:29,15:14,13:53,14:20,15:06
14:08,14:36,15:22,14:01,14:27,15:14
14:16,14:43,15:30,14:09,14:35,15:22
14:24,14:51,15:38,14:17,14:43,15:30
14:32,14:59,15:46,14:25,14:51,15:38
14:40,15:07,15:54,14:33,14:59,15:46
14:48,15:15,16:02,14:41,15:07,15:54
14:56,15:23,16:10,14:49,15:15,16:02
15:04,15:31,16:18,14:57,15:23,16:10
15:12,15:39,16:26,15:05,15:31,16:18
15:20,15:47,16:34,15:13,15:39,16:26
15:28,15:55,16:42,15:21,15:47,16:34
15:36,16:03,16:50,15:29,15:55,16:42
15:44,16:11,16:58,15:37,16:03,16:50
15:52,16:19,17:06,15:45,16:11,16:58
16:00,16:27,17:14,15:53,16:19,17:06
16:08,16:35,17:22,16:01,16:27,17:14
16:16,16:43,17:30,16:09,16:35,17:22
16:24,16:51,17:38,16:17,16:43,17:30
16:32,16:59,17:46,16:25,16:51,17:38
16:40,17:07,17:54,16:33,16:59,17:46
16:48,17:15,18:02,16:41,17:07,17:54
16:56,17:23,18:10,16:49,17:15,18:02
17:04,17:31,18:18,16:57,17:23,18:10
17:12,17:39,18:26,17:05,17:31,18:18
17:20,17:47,18:34,17:13,17:39,18:26
17:28,17:55,18:42,17:21,17:47,18:34
17:36,18:03,18:50,17:29,17:54,18:42
17:44,18:10,18:58,17:37,18:01,18:50
17:52,18:17,19:06,17:45,18:08,18:58
18:00,18:24,19:14,17:53,18:14,19:06
18:08,18:30,19:22,18:00,18:20,19:14
18:16,18:36,19:30,18:07,18:26,19:22
18:24,18:42,19:38,18:13,18:32,19:30
18:32,18:48,19:46,18:19,18:38,19:38
18:39,18:54,19:54,18:25,18:44,19:46
18:45,19:00,20:02,18:30,18:50,19:54
18:50,19:06,20:10,18:35,18:56,20:02
18:55,19:12,20:18,18:40,19:03,20:10
19:00,19:19,20:26,18:45,19:10,20:18
19:05,19:26,20:34,18:50,19:17,20:26
19:10,19:33,20:42,18:55,19:25,20:34
19:15,19:41,20:50,19:00,19:33,20:42
19:20,19:49,20:58,19:05,19:41,20:50
19:25,19:57,21:06,19:10,19:49,20:58
19:30,20:05,21:14,19:15,19:57,21:06
19:35,20:13,21:22,19:20,20:05,21:14
19:40,20:21,21:30,19:25,20:13,21:22
19:45,20:29,21:38,19:30,20:21,21:30
19:50,20:37,21:46,19:35,20:29,21:38
19:55,20:45,21:54,19:40,20:37,21:46
20:00,20:53,22:02,19:47,20:45,21:54
20:05,21:01,22:10,19:55,20:53,22:02
20:12,21:09,22:18,20:03,21:01,22:10
20:19,21:17,22:26,20:11,21:09,22:18
20:26,21:25,22:34,20:19,21:17,22:26
20:34,21:33,22:42,20:27,21:25,22:34
20:42,21:41,22:50,20:35,21:33,22:43
20:50,21:49,22:59,20:43,21:41,22:53
20:58,21:57,23:09,20:51,21:49,23:03
21:06,22:05,23:20,20:59,21:57,23:13
21:14,22:13,23:32,21:07,22:05,23:24
21:22,22:21,23:45,21:15,22:13,23:36
21:30,22:29,,21:23,22:22,
21:38,22:38,,21:31,22:32,
21:46,22:48,,21:39,22:42,
21:54,22:58,,21:47,22:52,
22:02,23:09,,21:55,23:02,
22:10,23:20,,22:03,23:13,
22:18,23:32,,22:11,23:24,
22:26,23:45,,22:19,23:36,
22:34,,,22:27,,
22:42,,,22:35,,
22:50,,,22:44,,
22:59,,,22:53,,
23:09,,,23:03,,
23:20,,,23:13,,
23:32,,,23:24,,
23:45,,,23:36,,
