상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
6:07,5:32,6:07,5:32,6:07,5:32
6:18,5:45,6:18,5:45,6:18,5:45
6:30,5:57,6:30,5:57,6:30,5:57
6:41,6:08,6:41,6:08,6:41,6:08
6:51,6:18,6:51,6:18,6:51,6:18
7:01,6:28,7:01,6:28,7:01,6:28
7:10,6:37,7:10,6:37,7:10,6:37
7:19,6:46,7:19,6:45,7:19,6:45
7:27,6:54,7:27,6:53,7:27,6:53
7:35,7:01,7:35,7:01,7:35,7:01
7:43,7:07,7:43,7:09,7:43,7:09
7:50,7:13,7:51,7:17,7:51,7:17
7:57,7:19,7:59,7:25,7:59,7:25
8:04,7:25,8:07,7:33,8:07,7:33
8:11,7:30,8:15,7:40,8:15,7:41
8:16,7:35,8:23,7:47,8:23,7:49
8:21,7:40,8:30,7:54,8:31,7:57
8:26,7:45,8:37,8:01,8:39,8:05
8:31,7:50,8:44,8:08,8:47,8:13
8:36,7:55,8:51,8:15,8:55,8:21
8:41,8:00,8:58,8:22,9:03,8:29
8:46,8:05,9:05,8:29,9:11,8:37
8:51,8:10,9:12,8:36,9:19,8:45
8:56,8:15,9:19,8:43,9:27,8:53
9:01,8:20,9:26,8:50,9:35,9:01
9:06,8:25,9:33,8:57,9:43,9:09
9:11,8:30,9:40,9:04,9:51,9:17
9:16,8:35,9:47,9:11,9:59,9:25
9:21,8:40,9:54,9:18,10:07,9:33
9:26,8:45,10:01,9:25,10:15,9:41
9:31,8:50,10:08,9:32,10:23,9:49
9:36,8:55,10:15,9:40,10:31,9:57
9:41,9:00,10:23,9:48,10:39,10:05
9:46,9:05,10:31,9:56,10:47,10:13
9:51,9:11,10:39,10:04,10:55,10:21
9:57,9:17,10:47,10:12,11:03,10:29
10:03,9:24,10:55,10:20,11:11,10:37
10:09,9:32,11:03,10:28,11:19,10:45
10:15,9:40,11:11,10:36,11:27,10:53
10:22,9:48,11:19,10:44,11:35,11:01
10:29,9:56,11:27,10:52,11:43,11:09
10:37,10:04,11:35,11:00,11:51,11:17
10:45,10:12,11:43,11:08,11:59,11:25
10:53,10:20,11:51,11:16,12:07,11:33
11:01,10:28,11:59,11:24,12:15,11:41
11:09,10:36,12:07,11:32,12:23,11:49
11:17,10:44,12:15,11:40,12:31,11:57
11:25,10:52,12:23,11:48,12:39,12:05
11:33,11:00,12:31,11:56,12:47,12:13
11:41,11:08,12:39,12:04,12:55,12:21
11:49,11:16,12:47,12:12,13:03,12:29
11:57,11:24,12:55,12:20,13:11,12:37
12:05,11:32,13:03,12:28,13:19,12:45
12:13,11:40,13:10,12:35,13:27,12:53
12:21,11:48,13:17,12:41,13:35,13:01
12:29,11:56,13:24,12:47,13:43,13:09
12:37,12:04,13:30,12:53,13:51,13:17
12:45,12:12,13:36,12:59,13:59,13:25
12:53,12:20,13:42,13:05,14:07,13:33
13:01,12:28,13:48,13:11,14:15,13:41
13:09,12:36,13:54,13:17,14:23,13:49
13:17,12:44,14:00,13:23,14:31,13:57
13:25,12:52,14:06,13:29,14:39,14:05
13:33,13:00,14:12,13:35,14:47,14:13
13:41,13:08,14:18,13:41,14:55,14:21
13:49,13:16,14:24,13:47,15:03,14:29
13:57,13:24,14:30,13:53,15:11,14:37
14:05,13:32,14:36,14:00,15:19,14:45
14:13,13:40,14:42,14:07,15:27,14:53
14:21,13:48,14:49,14:14,15:35,15:01
14:29,13:56,14:56,14:22,15:43,15:09
14:37,14:04,15:04,14:30,15:51,15:17
14:45,14:12,15:12,14:38,15:59,15:25
14:53,14:20,15:20,14:46,16:07,15:33
15:01,14:28,15:28,14:54,16:15,15:41
15:09,14:36,15:36,15:02,16:23,15:49
15:17,14:44,15:44,15:10,16:31,15:57
15:25,14:52,15:52,15:18,16:39,16:05
15:33,15:00,16:00,15:26,16:47,16:13
15:41,15:08,16:08,15:34,16:55,16:21
15:49,15:16,16:16,15:42,17:03,16:29
15:57,15:24,16:24,15:50,17:11,16:37
16:05,15:32,16:32,15:58,17:19,16:45
16:13,15:40,16:40,16:06,17:27,16:53
16:21,15:48,16:48,16:14,17:35,17:01
16:29,15:56,16:56,16:22,17:43,17:09
16:37,16:04,17:04,16:30,17:51,17:17
16:45,16:12,17:12,16:38,17:59,17:25
16:53,16:20,17:20,16:46,18:07,17:33
17:01,16:28,17:28,16:54,18:15,17:41
17:09,16:36,17:36,17:02,18:23,17:49
17:17,16:44,17:44,17:10,18:31,17:57
17:25,16:52,17:52,17:18,18:39,18:05
17:33,17:00,18:00,17:26,18:47,18:13
17:41,17:08,18:08,17:34,18:55,18:21
17:49,17:16,18:16,17:41,19:03,18:29
17:57,17:24,18:23,17:48,19:11,18:37
18:05,17:32,18:30,17:55,19:19,18:45
18:13,17:40,18:37,18:01,19:27,18:53
18:21,17:47,18:43,18:07,19:35,19:01
18:29,17:54,18:49,18:13,19:43,19:09
18:37,18:00,18:55,18:19,19:51,19:17
18:45,18:06,19:01,18:25,19:59,19:25
18:52,18:12,19:07,18:31,20:07,19:33
18:58,18:17,19:13,18:37,20:15,19:41
19:03,18:22,19:19,18:43,20:23,19:49
19:08,18:27,19:25,18:50,20:31,19:57
19:13,18:32,19:32,18:57,20:39,20:05
19:18,18:37,19:39,19:04,20:47,20:13
19:23,18:42,19:46,19:12,20:55,20:21
19:28,18:47,19:54,19:20,21:03,20:29
19:33,18:52,20:02,19:28,21:11,20:37
19:38,18:57,20:10,19:36,21:19,20:45
19:43,19:02,20:18,19:44,21:27,20:53
19:48,19:07,20:26,19:52,21:35,21:01
19:53,19:12,20:34,20:00,21:43,21:09
19:58,19:17,20:42,20:08,21:51,21:17
20:03,19:22,20:50,20:16,21:59,21:25
20:08,19:27,20:58,20:24,22:07,21:33
20:13,19:34,21:06,20:32,22:15,21:41
20:18,19:42,21:14,20:40,22:23,21:49
20:25,19:50,21:22,20:48,22:31,21:57
20:32,19:58,21:30,20:56,22:39,22:05
20:39,20:06,21:38,21:04,22:47,22:13
20:47,20:14,21:46,21:12,22:55,22:21
20:55,20:22,21:54,21:20,23:03,22:30
21:03,20:30,22:02,21:28,23:12,22:40
21:11,20:38,22:10,21:36,23:22,22:50
21:19,20:46,22:18,21:44,23:33,23:00
21:27,20:54,22:26,21:52,23:45,23:11
21:35,21:02,22:34,22:00,23:58,23:22
21:43,21:10,22:42,22:09,,
21:51,21:18,22:51,22:19,,
21:59,21:26,23:01,22:29,,
22:07,21:34,23:11,22:39,,
22:15,21:42,23:22,22:49,,
22:23,21:50,23:33,23:00,,
22:31,21:58,23:45,23:11,,
22:39,22:06,23:58,23:22,,
22:47,22:14,,,,
22:55,22:22,,,,
23:03,22:31,,,,
