상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:47,5:47,5:47,5:38,5:38,5:38
5:58,5:58,5:58,5:52,5:52,5:52
6:10,6:10,6:10,6:05,6:05,6:05
6:21,6:21,6:21,6:17,6:17,6:17
6:31,6:31,6:31,6:28,6:28,6:28
6:41,6:41,6:41,6:38,6:38,6:38
6:50,6:50,6:50,6:48,6:48,6:48
6:59,6:59,6:59,6:57,6:57,6:57
7:07,7:07,7:07,7:06,7:05,7:05
7:15,7:15,7:15,7:14,7:13,7:13
7:23,7:23,7:23,7:21,7:21,7:21
7:30,7:31,7:31,7:27,7:29,7:29
7:37,7:39,7:39,7:33,7:37,7:37
7:44,7:47,7:47,7:39,7:45,7:45
7:51,7:55,7:55,7:45,7:53,7:53
7:56,8:03,8:03,7:50,8:00,8:01
8:01,8:10,8:11,7:55,8:07,8:09
8:06,8:17,8:19,8:00,8:14,8:17
8:11,8:24,8:27,8:05,8:21,8:25
8:16,8:31,8:35,8:10,8:28,8:33
8:21,8:38,8:43,8:15,8:35,8:41
8:26,8:45,8:51,8:20,8:42,8:49
8:31,8:52,8:59,8:25,8:49,8:57
8:36,8:59,9:07,8:30,8:56,9:05
8:41,9:06,9:15,8:35,9:03,9:13
8:46,9:13,9:23,8:40,9:10,9:21
8:51,9:20,9:31,8:45,9:17,9:29
8:56,9:27,9:39,8:50,9:24,9:37
9:01,9:34,9:47,8:55,9:31,9:45
9:06,9:41,9:55,9:00,9:38,9:53
9:11,9:48,10:03,9:05,9:45,10:01
9:16,9:55,10:11,9:10,9:52,10:09
9:21,10:03,10:19,9:15,10:00,10:17
9:26,10:11,10:27,9:20,10:08,10:25
9:31,10:19,10:35,9:25,10:16,10:33
9:37,10:27,10:43,9:31,10:24,10:41
9:43,10:35,10:51,9:37,10:32,10:49
9:49,10:43,10:59,9:44,10:40,10:57
9:55,10:51,11:07,9:52,10:48,11:05
10:02,10:59,11:15,10:00,10:56,11:13
10:09,11:07,11:23,10:08,11:04,11:21
10:17,11:15,11:31,10:16,11:12,11:29
10:25,11:23,11:39,10:24,11:20,11:37
10:33,11:31,11:47,10:32,11:28,11:45
10:41,11:39,11:55,10:40,11:36,11:53
10:49,11:47,12:03,10:48,11:44,12:01
10:57,11:55,12:11,10:56,11:52,12:09
11:05,12:03,12:19,11:04,12:00,12:17
11:13,12:11,12:27,11:12,12:08,12:25
11:21,12:19,12:35,11:20,12:16,12:33
11:29,12:27,12:43,11:28,12:24,12:41
11:37,12:35,12:51,11:36,12:32,12:49
11:45,12:43,12:59,11:44,12:40,12:57
11:53,12:50,13:07,11:52,12:48,13:05
12:01,12:57,13:15,12:00,12:55,13:13
12:09,13:04,13:23,12:08,13:01,13:21
12:17,13:10,13:31,12:16,13:07,13:29
12:25,13:16,13:39,12:24,13:13,13:37
12:33,13:22,13:47,12:32,13:19,13:45
12:41,13:28,13:55,12:40,13:25,13:53
12:49,13:34,14:03,12:48,13:31,14:01
12:57,13:40,14:11,12:56,13:37,14:09
13:05,13:46,14:19,13:04,13:43,14:17
13:13,13:52,14:27,13:12,13:49,14:25
13:21,13:58,14:35,13:20,13:55,14:33
13:29,14:04,14:43,13:28,14:01,14:41
13:37,14:10,14:51,13:36,14:07,14:49
13:45,14:16,14:59,13:44,14:13,14:57
13:53,14:22,15:07,13:52,14:20,15:05
14:01,14:29,15:15,14:00,14:27,15:13
14:09,14:36,15:23,14:08,14:34,15:21
14:17,14:44,15:31,14:16,14:42,15:29
14:25,14:52,15:39,14:24,14:50,15:37
14:33,15:00,15:47,14:32,14:58,15:45
14:41,15:08,15:55,14:40,15:06,15:53
14:49,15:16,16:03,14:48,15:14,16:01
14:57,15:24,16:11,14:56,15:22,16:09
15:05,15:32,16:19,15:04,15:30,16:17
15:13,15:40,16:27,15:12,15:38,16:25
15:21,15:48,16:35,15:20,15:46,16:33
15:29,15:56,16:43,15:28,15:54,16:41
15:37,16:04,16:51,15:36,16:02,16:49
15:45,16:12,16:59,15:44,16:10,16:57
15:53,16:20,17:07,15:52,16:18,17:05
16:01,16:28,17:15,16:00,16:26,17:13
16:09,16:36,17:23,16:08,16:34,17:21
16:17,16:44,17:31,16:16,16:42,17:29
16:25,16:52,17:39,16:24,16:50,17:37
16:33,17:00,17:47,16:32,16:58,17:45
16:41,17:08,17:55,16:40,17:06,17:53
16:49,17:16,18:03,16:48,17:14,18:01
16:57,17:24,18:11,16:56,17:22,18:09
17:05,17:32,18:19,17:04,17:30,18:17
17:13,17:40,18:27,17:12,17:38,18:25
17:21,17:48,18:35,17:20,17:46,18:33
17:29,17:56,18:43,17:28,17:54,18:41
17:37,18:03,18:51,17:36,18:01,18:49
17:45,18:10,18:59,17:44,18:08,18:57
17:53,18:17,19:07,17:52,18:15,19:05
18:01,18:23,19:15,18:00,18:21,19:13
18:09,18:29,19:23,18:07,18:27,19:21
18:17,18:35,19:31,18:14,18:33,19:29
18:25,18:41,19:39,18:20,18:39,19:37
18:32,18:47,19:47,18:26,18:45,19:45
18:38,18:53,19:55,18:32,18:51,19:53
18:43,18:59,20:03,18:37,18:57,20:01
18:48,19:05,20:11,18:42,19:03,20:09
18:53,19:12,20:19,18:47,19:10,20:17
18:58,19:19,20:27,18:52,19:17,20:25
19:03,19:26,20:35,18:57,19:24,20:33
19:08,19:34,20:43,19:02,19:32,20:41
19:13,19:42,20:51,19:07,19:40,20:49
19:18,19:50,20:59,19:12,19:48,20:57
19:23,19:58,21:07,19:17,19:56,21:05
19:28,20:06,21:15,19:22,20:04,21:13
19:33,20:14,21:23,19:27,20:12,21:21
19:38,20:22,21:31,19:32,20:20,21:29
19:43,20:30,21:39,19:37,20:28,21:37
19:48,20:38,21:47,19:42,20:36,21:45
19:53,20:46,21:55,19:47,20:44,21:53
19:58,20:54,22:03,19:54,20:52,22:01
20:05,21:02,22:11,20:02,21:00,22:09
20:12,21:10,22:19,20:10,21:08,22:17
20:19,21:18,22:27,20:18,21:16,22:25
20:27,21:26,22:35,20:26,21:24,22:33
20:35,21:34,22:43,20:34,21:32,22:41
20:43,21:42,22:52,20:42,21:40,22:50
20:51,21:50,23:02,20:50,21:48,23:00
20:59,21:58,23:13,20:58,21:56,23:10
21:07,22:06,23:25,21:06,22:04,23:20
21:15,22:14,23:38,21:14,22:12,23:31
21:23,22:22,23:52,21:22,22:20,23:42
21:31,22:31,,21:30,22:29,
21:39,22:41,,21:38,22:39,
21:47,22:51,,21:46,22:49,
21:55,23:02,,21:54,22:59,
22:03,23:13,,22:02,23:09,
22:11,23:25,,22:10,23:20,
22:19,23:38,,22:18,23:31,
22:27,23:52,,22:26,23:42,
22:35,,,22:34,,
22:43,,,22:42,,
22:52,,,22:51,,
23:02,,,23:00,,
23:13,,,23:10,,
23:25,,,23:20,,
23:38,,,23:31,,
23:52,,,23:42,,
