상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:56,5:56,5:56,5:43,5:43,5:43
6:07,6:07,6:07,5:57,5:57,5:57
6:19,6:19,6:19,6:09,6:09,6:09
6:30,6:30,6:30,6:20,6:20,6:20
6:40,6:40,6:40,6:30,6:30,6:30
6:50,6:50,6:50,6:40,6:40,6:40
6:59,6:59,6:59,6:49,6:49,6:49
7:08,7:08,7:08,6:58,6:57,6:57
7:16,7:16,7:16,7:06,7:05,7:05
7:24,7:24,7:24,7:13,7:13,7:13
7:32,7:32,7:32,7:19,7:21,7:21
7:39,7:40,7:40,7:25,7:29,7:29
7:46,7:48,7:48,7:31,7:37,7:37
7:53,7:56,7:56,7:37,7:45,7:45
8:00,8:04,8:04,7:42,7:52,7:53
8:05,8:12,8:12,7:47,7:59,8:01
8:10,8:19,8:20,7:52,8:06,8:09
8:15,8:26,8:28,7:57,8:13,8:17
8:20,8:33,8:36,8:02,8:20,8:25
8:25,8:40,8:44,8:07,8:27,8:33
8:30,8:47,8:52,8:12,8:34,8:41
8:35,8:54,9:00,8:17,8:41,8:49
8:40,9:01,9:08,8:22,8:48,8:57
8:45,9:08,9:16,8:27,8:55,9:05
8:50,9:15,9:24,8:32,9:02,9:13
8:55,9:22,9:32,8:37,9:09,9:21
9:00,9:29,9:40,8:42,9:16,9:29
9:05,9:36,9:48,8:47,9:23,9:37
9:10,9:43,9:56,8:52,9:30,9:45
9:15,9:50,10:04,8:57,9:37,9:53
9:20,9:57,10:12,9:02,9:44,10:01
9:25,10:04,10:20,9:07,9:52,10:09
9:30,10:12,10:28,9:12,10:00,10:17
9:35,10:20,10:36,9:17,10:08,10:25
9:40,10:28,10:44,9:23,10:16,10:33
9:46,10:36,10:52,9:29,10:24,10:41
9:52,10:44,11:00,9:36,10:32,10:49
9:58,10:52,11:08,9:44,10:40,10:57
10:04,11:00,11:16,9:52,10:48,11:05
10:11,11:08,11:24,10:00,10:56,11:13
10:18,11:16,11:32,10:08,11:04,11:21
10:26,11:24,11:40,10:16,11:12,11:29
10:34,11:32,11:48,10:24,11:20,11:37
10:42,11:40,11:56,10:32,11:28,11:45
10:50,11:48,12:04,10:40,11:36,11:53
10:58,11:56,12:12,10:48,11:44,12:01
11:06,12:04,12:20,10:56,11:52,12:09
11:14,12:12,12:28,11:04,12:00,12:17
11:22,12:20,12:36,11:12,12:08,12:25
11:30,12:28,12:44,11:20,12:16,12:33
11:38,12:36,12:52,11:28,12:24,12:41
11:46,12:44,13:00,11:36,12:32,12:49
11:54,12:52,13:08,11:44,12:40,12:57
