상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:37,5:37,5:37,5:59,5:59,5:59
5:49,5:49,5:49,6:13,6:13,6:13
6:00,6:00,6:00,6:27,6:27,6:27
6:10,6:10,6:10,6:39,6:39,6:39
6:20,6:20,6:20,6:50,6:50,6:50
6:29,6:29,6:29,7:00,7:00,7:00
6:38,6:38,6:38,7:10,7:10,7:10
6:46,6:46,6:46,7:19,7:19,7:19
6:54,6:54,6:54,7:28,7:27,7:27
7:02,7:02,7:02,7:36,7:35,7:35
7:09,7:10,7:10,7:43,7:43,7:43
7:16,7:18,7:18,7:49,7:51,7:51
7:23,7:26,7:26,7:55,7:59,7:59
7:30,7:34,7:34,8:01,8:07,8:07
7:35,7:42,7:42,8:07,8:15,8:15
7:40,7:49,7:50,8:12,8:22,8:23
7:45,7:56,7:58,8:17,8:29,8:31
7:50,8:03,8:06,8:22,8:36,8:39
7:55,8:10,8:14,8:27,8:43,8:47
8:00,8:17,8:22,8:32,8:50,8:55
8:05,8:24,8:30,8:37,8:57,9:03
8:10,8:31,8:38,8:42,9:04,9:11
8:15,8:38,8:46,8:47,9:11,9:19
8:20,8:45,8:54,8:52,9:18,9:27
8:25,8:52,9:02,8:57,9:25,9:35
8:30,8:59,9:10,9:02,9:32,9:43
8:35,9:06,9:18,9:07,9:39,9:51
8:40,9:13,9:26,9:12,9:46,9:59
8:45,9:20,9:34,9:17,9:53,10:07
8:50,9:27,9:42,9:22,10:00,10:15
8:55,9:34,9:50,9:27,10:07,10:23
9:00,9:42,9:58,9:32,10:14,10:31
9:05,9:50,10:06,9:37,10:22,10:39
9:10,9:58,10:14,9:42,10:30,10:47
9:16,10:06,10:22,9:47,10:38,10:55
9:22,10:14,10:30,9:53,10:46,11:03
9:28,10:22,10:38,9:59,10:54,11:11
9:34,10:30,10:46,10:06,11:02,11:19
9:41,10:38,10:54,10:14,11:10,11:27
9:48,10:46,11:02,10:22,11:18,11:35
9:56,10:54,11:10,10:30,11:26,11:43
10:04,11:02,11:18,10:38,11:34,11:51
10:12,11:10,11:26,10:46,11:42,11:59
10:20,11:18,11:34,10:54,11:50,12:07
10:28,11:26,11:42,11:02,11:58,12:15
10:36,11:34,11:50,11:10,12:06,12:23
10:44,11:42,11:58,11:18,12:14,12:31
10:52,11:50,12:06,11:26,12:22,12:39
11:00,11:58,12:14,11:34,12:30,12:47
11:08,12:06,12:22,11:42,12:38,12:55
11:16,12:14,12:30,11:50,12:46,13:03
11:24,12:22,12:38,11:58,12:54,13:11
11:32,12:29,12:46,12:06,13:02,13:19
11:40,12:36,12:54,12:14,13:10,13:27
11:48,12:43,13:02,12:22,13:17,13:35
11:56,12:49,13:10,12:30,13:23,13:43
12:04,12:55,13:18,12:38,13:29,13:51
12:12,13:01,13:26,12:46,13:35,13:59
12:20,13:07,13:34,12:54,13:41,14:07
12:28,13:13,13:42,13:02,13:47,14:15
12:36,13:19,13:50,13:10,13:53,14:23
12:44,13:25,13:58,13:18,13:59,14:31
12:52,13:31,14:06,13:26,14:05,14:39
13:00,13:37,14:14,13:34,14:11,14:47
13:08,13:43,14:22,13:42,14:17,14:55
13:16,13:49,14:30,13:50,14:23,15:03
13:24,13:55,14:38,13:58,14:29,15:11
13:32,14:01,14:46,14:06,14:35,15:19
13:40,14:08,14:54,14:14,14:42,15:27
13:48,14:15,15:02,14:22,14:49,15:35
13:56,14:23,15:10,14:30,14:56,15:43
14:04,14:31,15:18,14:38,15:04,15:51
14:12,14:39,15:26,14:46,15:12,15:59
14:20,14:47,15:34,14:54,15:20,16:07
14:28,14:55,15:42,15:02,15:28,16:15
14:36,15:03,15:50,15:10,15:36,16:23
14:44,15:11,15:58,15:18,15:44,16:31
14:52,15:19,16:06,15:26,15:52,16:39
15:00,15:27,16:14,15:34,16:00,16:47
15:08,15:35,16:22,15:42,16:08,16:55
15:16,15:43,16:30,15:50,16:16,17:03
15:24,15:51,16:38,15:58,16:24,17:11
15:32,15:59,16:46,16:06,16:32,17:19
15:40,16:07,16:54,16:14,16:40,17:27
15:48,16:15,17:02,16:22,16:48,17:35
15:56,16:23,17:10,16:30,16:56,17:43
16:04,16:31,17:18,16:38,17:04,17:51
16:12,16:39,17:26,16:46,17:12,17:59
16:20,16:47,17:34,16:54,17:20,18:07
16:28,16:55,17:42,17:02,17:28,18:15
16:36,17:03,17:50,17:10,17:36,18:23
16:44,17:11,17:58,17:18,17:44,18:31
16:52,17:19,18:06,17:26,17:52,18:39
17:00,17:27,18:14,17:34,18:00,18:47
17:08,17:35,18:22,17:42,18:08,18:55
17:16,17:42,18:30,17:50,18:16,19:03
17:24,17:49,18:38,17:58,18:23,19:11
17:32,17:56,18:46,18:06,18:30,19:19
17:40,18:02,18:54,18:14,18:37,19:27
17:48,18:08,19:02,18:22,18:43,19:35
17:56,18:14,19:10,18:29,18:49,19:43
18:04,18:20,19:18,18:36,18:55,19:51
18:11,18:26,19:26,18:42,19:01,19:59
18:17,18:32,19:34,18:48,19:07,20:07
18:22,18:38,19:42,18:54,19:13,20:15
18:27,18:44,19:50,18:59,19:19,20:23
18:32,18:51,19:58,19:04,19:25,20:31
18:37,18:58,20:06,19:09,19:32,20:39
18:42,19:05,20:14,19:14,19:39,20:47
18:47,19:13,20:22,19:19,19:46,20:55
18:52,19:21,20:30,19:24,19:54,21:03
18:57,19:29,20:38,19:29,20:02,21:11
19:02,19:37,20:46,19:34,20:10,21:19
19:07,19:45,20:54,19:39,20:18,21:27
19:12,19:53,21:02,19:44,20:26,21:35
19:17,20:01,21:10,19:49,20:34,21:43
19:22,20:09,21:18,19:54,20:42,21:51
19:27,20:17,21:26,19:59,20:50,21:59
19:32,20:25,21:34,20:04,20:58,22:07
19:37,20:33,21:42,20:09,21:06,22:15
19:44,20:41,21:50,20:16,21:14,22:23
19:51,20:49,21:58,20:24,21:22,22:31
