상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:57,5:57,5:57,5:42,5:42,5:42
6:08,6:08,6:08,5:55,5:55,5:55
6:20,6:20,6:20,6:07,6:07,6:07
6:31,6:31,6:31,6:18,6:18,6:18
6:41,6:41,6:41,6:28,6:28,6:28
6:51,6:51,6:51,6:38,6:38,6:38
7:00,7:00,7:00,6:47,6:47,6:47
7:09,7:09,7:09,6:56,6:55,6:55
7:17,7:17,7:17,7:04,7:03,7:03
7:25,7:25,7:25,7:11,7:11,7:11
7:33,7:33,7:33,7:17,7:19,7:19
7:40,7:41,7:41,7:23,7:27,7:27
7:47,7:49,7:49,7:29,7:35,7:35
7:54,7:57,7:57,7:35,7:43,7:43
8:01,8:05,8:05,7:40,7:50,7:51
8:06,8:13,8:13,7:45,7:57,7:59
8:11,8:20,8:21,7:50,8:04,8:07
8:16,8:27,8:29,7:55,8:11,8:15
8:21,8:34,8:37,8:00,8:18,8:23
8:26,8:41,8:45,8:05,8:25,8:31
8:31,8:48,8:53,8:10,8:32,8:39
8:36,8:55,9:01,8:15,8:39,8:47
8:41,9:02,9:09,8:20,8:46,8:55
8:46,9:09,9:17,8:25,8:53,9:03
8:51,9:16,9:25,8:30,9:00,9:11
8:56,9:23,9:33,8:35,9:07,9:19
9:01,9:30,9:41,8:40,9:14,9:27
9:06,9:37,9:49,8:45,9:21,9:35
9:11,9:44,9:57,8:50,9:28,9:43
9:16,9:51,10:05,8:55,9:35,9:51
9:21,9:58,10:13,9:00,9:42,9:59
9:26,10:05,10:21,9:05,9:50,10:07
9:31,10:13,10:29,9:10,9:58,10:15
9:36,10:21,10:37,9:15,10:06,10:23
9:41,10:29,10:45,9:21,10:14,10:31
9:47,10:37,10:53,9:27,10:22,10:39
9:53,10:45,11:01,9:34,10:30,10:47
9:59,10:53,11:09,9:42,10:38,10:55
10:05,11:01,11:17,9:50,10:46,11:03
10:12,11:09,11:25,9:58,10:54,11:11
10:19,11:17,11:33,10:06,11:02,11:19
10:27,11:25,11:41,10:14,11:10,11:27
10:35,11:33,11:49,10:22,11:18,11:35
10:43,11:41,11:57,10:30,11:26,11:43
10:51,11:49,12:05,10:38,11:34,11:51
10:59,11:57,12:13,10:46,11:42,11:59
11:07,12:05,12:21,10:54,11:50,12:07
11:15,12:13,12:29,11:02,11:58,12:15
11:23,12:21,12:37,11:10,12:06,12:23
11:31,12:29,12:45,11:18,12:14,12:31
11:39,12:37,12:53,11:26,12:22,12:39
11:47,12:45,13:01,11:34,12:30,12:47
11:55,12:53,13:09,11:42,12:38,12:55
12:03,13:00,13:17,11:50,12:45,13:03
12:11,13:07,13:25,11:58,12:51,13:11
12:19,13:14,13:33,12:06,12:57,13:19
12:27,13:20,13:41,12:14,13:03,13:27
12:35,13:26,13:49,12:22,13:09,13:35
12:43,13:32,13:57,12:30,13:15,13:43
12:51,13:38,14:05,12:38,13:21,13:51
12:59,13:44,14:13,12:46,13:27,13:59
13:07,13:50,14:21,12:54,13:33,14:07
13:15,13:56,14:29,13:02,13:39,14:15
13:23,14:02,14:37,13:10,13:45,14:23
13:31,14:08,14:45,13:18,13:51,14:31
13:39,14:14,14:53,13:26,13:57,14:39
13:47,14:20,15:01,13:34,14:03,14:47
13:55,14:26,15:09,13:42,14:10,14:55
14:03,14:32,15:17,13:50,14:17,15:03
14:11,14:39,15:25,13:58,14:24,15:11
14:19,14:46,15:33,14:06,14:32,15:19
14:27,14:54,15:41,14:14,14:40,15:27
14:35,15:02,15:49,14:22,14:48,15:35
14:43,15:10,15:57,14:30,14:56,15:43
14:51,15:18,16:05,14:38,15:04,15:51
14:59,15:26,16:13,14:46,15:12,15:59
15:07,15:34,16:21,14:54,15:20,16:07
15:15,15:42,16:29,15:02,15:28,16:15
15:23,15:50,16:37,15:10,15:36,16:23
15:31,15:58,16:45,15:18,15:44,16:31
15:39,16:06,16:53,15:26,15:52,16:39
15:47,16:14,17:01,15:34,16:00,16:47
15:55,16:22,17:09,15:42,16:08,16:55
16:03,16:30,17:17,15:50,16:16,17:03
16:11,16:38,17:25,15:58,16:24,17:11
16:19,16:46,17:33,16:06,16:32,17:19
16:27,16:54,17:41,16:14,16:40,17:27
16:35,17:02,17:49,16:22,16:48,17:35
16:43,17:10,17:57,16:30,16:56,17:43
16:51,17:18,18:05,16:38,17:04,17:51
16:59,17:26,18:13,16:46,17:12,17:59
17:07,17:34,18:21,16:54,17:20,18:07
17:15,17:42,18:29,17:02,17:28,18:15
17:23,17:50,18:37,17:10,17:36,18:23
17:31,17:58,18:45,17:18,17:44,18:31
17:39,18:06,18:53,17:26,17:51,18:39
17:47,18:13,19:01,17:34,17:58,18:47
17:55,18:20,19:09,17:42,18:05,18:55
18:03,18:27,19:17,17:50,18:11,19:03
18:11,18:33,19:25,17:57,18:17,19:11
18:19,18:39,19:33,18:04,18:23,19:19
18:27,18:45,19:41,18:10,18:29,19:27
18:35,18:51,19:49,18:16,18:35,19:35
18:42,18:57,19:57,18:22,18:41,19:43
18:48,19:03,20:05,18:27,18:47,19:51
18:53,19:09,20:13,18:32,18:53,19:59
18:58,19:15,20:21,18:37,19:00,20:07
19:03,19:22,20:29,18:42,19:07,20:15
19:08,19:29,20:37,18:47,19:14,20:23
19:13,19:36,20:45,18:52,19:22,20:31
19:18,19:44,20:53,18:57,19:30,20:39
19:23,19:52,21:01,19:02,19:38,20:47
19:28,20:00,21:09,19:07,19:46,20:55
19:33,20:08,21:17,19:12,19:54,21:03
19:38,20:16,21:25,19:17,20:02,21:11
19:43,20:24,21:33,19:22,20:10,21:19
19:48,20:32,21:41,19:27,20:18,21:27
19:53,20:40,21:49,19:32,20:26,21:35
19:58,20:48,21:57,19:37,20:34,21:43
20:03,20:56,22:05,19:44,20:42,21:51
20:08,21:04,22:13,19:52,20:50,21:59
20:15,21:12,22:21,20:00,20:58,22:07
20:22,21:20,22:29,20:08,21:06,22:15
20:29,21:28,22:37,20:16,21:14,22:23
20:37,21:36,22:45,20:24,21:22,22:31
20:45,21:44,22:53,20:32,21:30,22:40
20:53,21:52,23:02,20:40,21:38,22:50
21:01,22:00,23:12,20:48,21:46,23:00
21:09,22:08,23:23,20:56,21:54,23:10
21:17,22:16,23:35,21:04,22:02,23:21
21:25,22:24,23:48,21:12,22:10,23:32
21:33,22:32,,21:20,22:19,
21:41,22:41,,21:28,22:29,
21:49,22:51,,21:36,22:39,
21:57,23:01,,21:44,22:49,
22:05,23:12,,21:52,22:59,
22:13,23:23,,22:00,23:10,
22:21,23:35,,22:08,23:21,
22:29,23:48,,22:16,23:32,
22:37,,,22:24,,
22:45,,,22:32,,
22:53,,,22:41,,
23:02,,,22:50,,
23:12,,,23:00,,
23:23,,,23:10,,
23:35,,,23:21,,
23:48,,,23:32,,
