상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:37,5:37,5:37,5:48,5:48,5:48
5:48,5:48,5:48,6:02,6:02,6:02
6:00,6:00,6:00,6:15,6:15,6:15
6:11,6:11,6:11,6:27,6:27,6:27
6:21,6:21,6:21,6:38,6:38,6:38
6:31,6:31,6:31,6:48,6:48,6:48
6:40,6:40,6:40,6:58,6:58,6:58
6:49,6:49,6:49,7:07,7:07,7:07
6:57,6:57,6:57,7:16,7:15,7:15
7:05,7:05,7:05,7:24,7:23,7:23
7:13,7:13,7:13,7:31,7:31,7:31
7:20,7:21,7:21,7:37,7:39,7:39
7:27,7:29,7:29,7:43,7:47,7:47
7:34,7:37,7:37,7:49,7:55,7:55
7:41,7:45,7:45,7:55,8:03,8:03
7:46,7:53,7:53,8:00,8:10,8:11
7:51,8:00,8:01,8:05,8:17,8:19
7:56,8:07,8:09,8:10,8:24,8:27
8:01,8:14,8:17,8:15,8:31,8:35
8:06,8:21,8:25,8:20,8:38,8:43
8:11,8:28,8:33,8:25,8:45,8:51
8:16,8:35,8:41,8:30,8:52,8:59
8:21,8:42,8:49,8:35,8:59,9:07
8:26,8:49,8:57,8:40,9:06,9:15
8:31,8:56,9:05,8:45,9:13,9:23
8:36,9:03,9:13,8:50,9:20,9:31
8:41,9:10,9:21,8:55,9:27,9:39
8:46,9:17,9:29,9:00,9:34,9:47
8:51,9:24,9:37,9:05,9:41,9:55
8:56,9:31,9:45,9:10,9:48,10:03
9:01,9:38,9:53,9:15,9:55,10:11
9:06,9:45,10:01,9:20,10:02,10:19
9:11,9:53,10:09,9:25,10:10,10:27
9:16,10:01,10:17,9:30,10:18,10:35
9:21,10:09,10:25,9:35,10:26,10:43
9:27,10:17,10:33,9:41,10:34,10:51
9:33,10:25,10:41,9:47,10:42,10:59
9:39,10:33,10:49,9:54,10:50,11:07
9:45,10:41,10:57,10:02,10:58,11:15
9:52,10:49,11:05,10:10,11:06,11:23
9:59,10:57,11:13,10:18,11:14,11:31
10:07,11:05,11:21,10:26,11:22,11:39
10:15,11:13,11:29,10:34,11:30,11:47
10:23,11:21,11:37,10:42,11:38,11:55
10:31,11:29,11:45,10:50,11:46,12:03
10:39,11:37,11:53,10:58,11:54,12:11
10:47,11:45,12:01,11:06,12:02,12:19
10:55,11:53,12:09,11:14,12:10,12:27
11:03,12:01,12:17,11:22,12:18,12:35
11:11,12:09,12:25,11:30,12:26,12:43
11:19,12:17,12:33,11:38,12:34,12:51
11:27,12:25,12:41,11:46,12:42,12:59
11:35,12:33,12:49,11:54,12:50,13:07
11:43,12:40,12:57,12:02,12:58,13:15
11:51,12:47,13:05,12:10,13:05,13:23
11:59,12:54,13:13,12:18,13:11,13:31
12:07,13:00,13:21,12:26,13:17,13:39
12:15,13:06,13:29,12:34,13:23,13:47
12:23,13:12,13:37,12:42,13:29,13:55
12:31,13:18,13:45,12:50,13:35,14:03
12:39,13:24,13:53,12:58,13:41,14:11
12:47,13:30,14:01,13:06,13:47,14:19
12:55,13:36,14:09,13:14,13:53,14:27
13:03,13:42,14:17,13:22,13:59,14:35
13:11,13:48,14:25,13:30,14:05,14:43
13:19,13:54,14:33,13:38,14:11,14:51
13:27,14:00,14:41,13:46,14:17,14:59
13:35,14:06,14:49,13:54,14:23,15:07
13:43,14:12,14:57,14:02,14:30,15:15
13:51,14:19,15:05,14:10,14:37,15:23
13:59,14:26,15:13,14:18,14:44,15:31
14:07,14:34,15:21,14:26,14:52,15:39
14:15,14:42,15:29,14:34,15:00,15:47
14:23,14:50,15:37,14:42,15:08,15:55
14:31,14:58,15:45,14:50,15:16,16:03
14:39,15:06,15:53,14:58,15:24,16:11
14:47,15:14,16:01,15:06,15:32,16:19
14:55,15:22,16:09,15:14,15:40,16:27
15:03,15:30,16:17,15:22,15:48,16:35
15:11,15:38,16:25,15:30,15:56,16:43
15:19,15:46,16:33,15:38,16:04,16:51
15:27,15:54,16:41,15:46,16:12,16:59
15:35,16:02,16:49,15:54,16:20,17:07
15:43,16:10,16:57,16:02,16:28,17:15
15:51,16:18,17:05,16:10,16:36,17:23
15:59,16:26,17:13,16:18,16:44,17:31
16:07,16:34,17:21,16:26,16:52,17:39
16:15,16:42,17:29,16:34,17:00,17:47
16:23,16:50,17:37,16:42,17:08,17:55
16:31,16:58,17:45,16:50,17:16,18:03
16:39,17:06,17:53,16:58,17:24,18:11
16:47,17:14,18:01,17:06,17:32,18:19
16:55,17:22,18:09,17:14,17:40,18:27
17:03,17:30,18:17,17:22,17:48,18:35
17:11,17:38,18:25,17:30,17:56,18:43
17:19,17:46,18:33,17:38,18:04,18:51
17:27,17:53,18:41,17:46,18:11,18:59
17:35,18:00,18:49,17:54,18:18,19:07
17:43,18:07,18:57,18:02,18:25,19:15
17:51,18:13,19:05,18:10,18:31,19:23
17:59,18:19,19:13,18:17,18:37,19:31
18:07,18:25,19:21,18:24,18:43,19:39
18:15,18:31,19:29,18:30,18:49,19:47
18:22,18:37,19:37,18:36,18:55,19:55
18:28,18:43,19:45,18:42,19:01,20:03
18:33,18:49,19:53,18:47,19:07,20:11
18:38,18:55,20:01,18:52,19:13,20:19
18:43,19:02,20:09,18:57,19:20,20:27
18:48,19:09,20:17,19:02,19:27,20:35
18:53,19:16,20:25,19:07,19:34,20:43
18:58,19:24,20:33,19:12,19:42,20:51
19:03,19:32,20:41,19:17,19:50,20:59
19:08,19:40,20:49,19:22,19:58,21:07
19:13,19:48,20:57,19:27,20:06,21:15
19:18,19:56,21:05,19:32,20:14,21:23
19:23,20:04,21:13,19:37,20:22,21:31
19:28,20:12,21:21,19:42,20:30,21:39
19:33,20:20,21:29,19:47,20:38,21:47
19:38,20:28,21:37,19:52,20:46,21:55
19:43,20:36,21:45,19:57,20:54,22:03
19:48,20:44,21:53,20:04,21:02,22:11
19:55,20:52,22:01,20:12,21:10,22:19
