상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
6:06,6:06,6:06,5:33,5:33,5:33
6:17,6:17,6:17,5:47,5:47,5:47
6:29,6:29,6:29,5:59,5:59,5:59
6:40,6:40,6:40,6:10,6:10,6:10
6:50,6:50,6:50,6:20,6:20,6:20
7:00,7:00,7:00,6:30,6:30,6:30
7:09,7:09,7:09,6:39,6:39,6:39
7:18,7:18,7:18,6:48,6:47,6:47
7:26,7:26,7:26,6:56,6:55,6:55
7:34,7:34,7:34,7:03,7:03,7:03
7:42,7:42,7:42,7:09,7:11,7:11
7:49,7:50,7:50,7:15,7:19,7:19
7:56,7:58,7:58,7:21,7:27,7:27
8:03,8:06,8:06,7:27,7:35,7:35
8:10,8:14,8:14,7:32,7:42,7:43
8:15,8:22,8:22,7:37,7:49,7:51
8:20,8:29,8:30,7:42,7:56,7:59
8:25,8:36,8:38,7:47,8:03,8:07
8:30,8:43,8:46,7:52,8:10,8:15
8:35,8:50,8:54,7:57,8:17,8:23
8:40,8:57,9:02,8:02,8:24,8:31
8:45,9:04,9:10,8:07,8:31,8:39
8:50,9:11,9:18,8:12,8:38,8:47
8:55,9:18,9:26,8:17,8:45,8:55
9:00,9:25,9:34,8:22,8:52,9:03
9:05,9:32,9:42,8:27,8:59,9:11
9:10,9:39,9:50,8:32,9:06,9:19
9:15,9:46,9:58,8:37,9:13,9:27
9:20,9:53,10:06,8:42,9:20,9:35
9:25,10:00,10:14,8:47,9:27,9:43
9:30,10:07,10:22,8:52,9:34,9:51
9:35,10:14,10:30,8:57,9:42,9:59
9:40,10:22,10:38,9:02,9:50,10:07
9:45,10:30,10:46,9:07,9:58,10:15
9:50,10:38,10:54,9:13,10:06,10:23
9:56,10:46,11:02,9:19,10:14,10:31
10:02,10:54,11:10,9:26,10:22,10:39
10:08,11:02,11:18,9:34,10:30,10:47
10:14,11:10,11:26,9:42,10:38,10:55
10:21,11:18,11:34,9:50,10:46,11:03
10:28,11:26,11:42,9:58,10:54,11:11
10:36,11:34,11:50,10:06,11:02,11:19
10:44,11:42,11:58,10:14,11:10,11:27
10:52,11:50,12:06,10:22,11:18,11:35
11:00,11:58,12:14,10:30,11:26,11:43
11:08,12:06,12:22,10:38,11:34,11:51
11:16,12:14,12:30,10:46,11:42,11:59
11:24,12:22,12:38,10:54,11:50,12:07
11:32,12:30,12:46,11:02,11:58,12:15
11:40,12:38,12:54,11:10,12:06,12:23
11:48,12:46,13:02,11:18,12:14,12:31
11:56,12:54,13:10,11:26,12:22,12:39
12:04,13:02,13:18,11:34,12:30,12:47
12:12,13:09,13:26,11:42,12:37,12:55
12:20,13:16,13:34,11:50,12:43,13:03
12:28,13:23,13:42,11:58,12:49,13:11
12:36,13:29,13:50,12:06,12:55,13:19
12:44,13:35,13:58,12:14,13:01,13:27
12:52,13:41,14:06,12:22,13:07,13:35
