상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:59,5:59,5:59,5:40,5:40,5:40
6:10,6:10,6:10,5:53,5:53,5:53
6:22,6:22,6:22,6:05,6:05,6:05
6:33,6:33,6:33,6:16,6:16,6:16
6:43,6:43,6:43,6:26,6:26,6:26
6:53,6:53,6:53,6:36,6:36,6:36
7:02,7:02,7:02,6:45,6:45,6:45
7:11,7:11,7:11,6:54,6:53,6:53
7:19,7:19,7:19,7:02,7:01,7:01
7:27,7:27,7:27,7:09,7:09,7:09
7:35,7:35,7:35,7:15,7:17,7:17
7:42,7:43,7:43,7:21,7:25,7:25
7:49,7:51,7:51,7:27,7:33,7:33
7:56,7:59,7:59,7:33,7:41,7:41
8:03,8:07,8:07,7:38,7:48,7:49
8:08,8:15,8:15,7:43,7:55,7:57
8:13,8:22,8:23,7:48,8:02,8:05
8:18,8:29,8:31,7:53,8:09,8:13
8:23,8:36,8:39,7:58,8:16,8:21
8:28,8:43,8:47,8:03,8:23,8:29
8:33,8:50,8:55,8:08,8:30,8:37
8:38,8:57,9:03,8:13,8:37,8:45
8:43,9:04,9:11,8:18,8:44,8:53
8:48,9:11,9:19,8:23,8:51,9:01
8:53,9:18,9:27,8:28,8:58,9:09
8:58,9:25,9:35,8:33,9:05,9:17
9:03,9:32,9:43,8:38,9:12,9:25
9:08,9:39,9:51,8:43,9:19,9:33
9:13,9:46,9:59,8:48,9:26,9:41
9:18,9:53,10:07,8:53,9:33,9:49
9:23,10:00,10:15,8:58,9:40,9:57
9:28,10:07,10:23,9:03,9:48,10:05
9:33,10:15,10:31,9:08,9:56,10:13
9:38,10:23,10:39,9:13,10:04,10:21
9:43,10:31,10:47,9:19,10:12,10:29
9:49,10:39,10:55,9:25,10:20,10:37
9:55,10:47,11:03,9:32,10:28,10:45
10:01,10:55,11:11,9:40,10:36,10:53
10:07,11:03,11:19,9:48,10:44,11:01
10:14,11:11,11:27,9:56,10:52,11:09
10:21,11:19,11:35,10:04,11:00,11:17
10:29,11:27,11:43,10:12,11:08,11:25
10:37,11:35,11:51,10:20,11:16,11:33
