상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
6:02,6:02,6:02,5:37,5:37,5:37
6:13,6:13,6:13,5:50,5:50,5:50
6:25,6:25,6:25,6:02,6:02,6:02
6:36,6:36,6:36,6:13,6:13,6:13
6:46,6:46,6:46,6:23,6:23,6:23
6:56,6:56,6:56,6:33,6:33,6:33
7:05,7:05,7:05,6:42,6:42,6:42
7:14,7:14,7:14,6:50,6:50,6:51
7:22,7:22,7:22,6:58,6:58,6:59
7:30,7:30,7:30,7:06,7:06,7:06
7:38,7:38,7:38,7:14,7:14,7:12
7:45,7:46,7:46,7:22,7:22,7:18
7:52,7:54,7:54,7:30,7:30,7:24
7:59,8:02,8:02,7:38,7:38,7:30
8:06,8:10,8:10,7:46,7:45,7:35
8:11,8:18,8:18,7:54,7:52,7:40
8:16,8:25,8:26,8:02,7:59,7:45
8:21,8:32,8:34,8:10,8:06,7:50
8:26,8:39,8:42,8:18,8:13,7:55
8:31,8:46,8:50,8:26,8:20,8:00
8:36,8:53,8:58,8:34,8:27,8:05
8:41,9:00,9:06,8:42,8:34,8:10
8:46,9:07,9:14,8:50,8:41,8:15
8:51,9:14,9:22,8:58,8:48,8:20
8:56,9:21,9:30,9:06,8:55,8:25
9:01,9:28,9:38,9:14,9:02,8:30
9:06,9:35,9:46,9:22,9:09,8:35
9:11,9:42,9:54,9:30,9:16,8:40
9:16,9:49,10:02,9:38,9:23,8:45
9:21,9:56,10:10,9:46,9:30,8:50
9:26,10:03,10:18,9:54,9:37,8:55
9:31,10:10,10:26,10:02,9:45,9:00
9:36,10:18,10:34,10:10,9:53,9:05
9:41,10:26,10:42,10:18,10:01,9:10
9:46,10:34,10:50,10:26,10:09,9:16
9:52,10:42,10:58,10:34,10:17,9:22
9:58,10:50,11:06,10:42,10:25,9:29
10:04,10:58,11:14,10:50,10:33,9:37
10:10,11:06,11:22,10:58,10:41,9:45
10:17,11:14,11:30,11:06,10:49,9:53
10:24,11:22,11:38,11:14,10:57,10:01
10:32,11:30,11:46,11:22,11:05,10:09
10:40,11:38,11:54,11:30,11:13,10:17
10:48,11:46,12:02,11:38,11:21,10:25
10:56,11:54,12:10,11:46,11:29,10:33
11:04,12:02,12:18,11:54,11:37,10:41
11:12,12:10,12:26,12:02,11:45,10:49
11:20,12:18,12:34,12:10,11:53,10:57
11:28,12:26,12:42,12:18,12:01,11:05
11:36,12:34,12:50,12:26,12:09,11:13
11:44,12:42,12:58,12:34,12:17,11:21
11:52,12:50,13:06,12:42,12:25,11:29
12:00,12:58,13:14,12:50,12:33,11:37
12:08,13:05,13:22,12:58,12:40,11:45
12:16,13:12,13:30,13:06,12:46,11:53
12:24,13:19,13:38,13:14,12:52,12:01
12:32,13:25,13:46,13:22,12:58,12:09
12:40,13:31,13:54,13:30,13:04,12:17
12:48,13:37,14:02,13:38,13:10,12:25
12:56,13:43,14:10,13:46,13:16,12:33
13:04,13:49,14:18,13:54,13:22,12:41
13:12,13:55,14:26,14:02,13:28,12:49
13:20,14:01,14:34,14:10,13:34,12:57
13:28,14:07,14:42,14:18,13:40,13:05
13:36,14:13,14:50,14:26,13:46,13:13
13:44,14:19,14:58,14:34,13:52,13:21
13:52,14:25,15:06,14:42,13:58,13:29
14:00,14:31,15:14,14:50,14:05,13:37
14:08,14:37,15:22,14:58,14:12,13:45
14:16,14:44,15:30,15:06,14:19,13:53
14:24,14:51,15:38,15:14,14:27,14:01
14:32,14:59,15:46,15:22,14:35,14:09
14:40,15:07,15:54,15:30,14:43,14:17
14:48,15:15,16:02,15:38,14:51,14:25
14:56,15:23,16:10,15:46,14:59,14:33
15:04,15:31,16:18,15:54,15:07,14:41
15:12,15:39,16:26,16:02,15:15,14:49
15:20,15:47,16:34,16:10,15:23,14:57
15:28,15:55,16:42,16:18,15:31,15:05
15:36,16:03,16:50,16:26,15:39,15:13
15:44,16:11,16:58,16:34,15:47,15:21
15:52,16:19,17:06,16:42,15:55,15:29
16:00,16:27,17:14,16:50,16:03,15:37
16:08,16:35,17:22,16:58,16:11,15:45
16:16,16:43,17:30,17:06,16:19,15:53
16:24,16:51,17:38,17:14,16:27,16:01
16:32,16:59,17:46,17:22,16:35,16:09
16:40,17:07,17:54,17:30,16:43,16:17
16:48,17:15,18:02,17:38,16:51,16:25
16:56,17:23,18:10,17:46,16:59,16:33
17:04,17:31,18:18,17:54,17:07,16:41
17:12,17:39,18:26,18:02,17:15,16:49
17:20,17:47,18:34,18:10,17:23,16:57
17:28,17:55,18:42,18:18,17:31,17:05
17:36,18:03,18:50,18:26,17:39,17:13
17:44,18:11,18:58,18:34,17:46,17:21
17:52,18:18,19:06,18:42,17:53,17:29
18:00,18:25,19:14,18:50,18:00,17:37
18:08,18:32,19:22,18:58,18:06,17:45
18:16,18:38,19:30,19:06,18:12,17:52
18:24,18:44,19:38,19:14,18:18,17:59
18:32,18:50,19:46,19:22,18:24,18:05
18:40,18:56,19:54,19:30,18:30,18:11
18:47,19:02,20:02,19:38,18:36,18:17
18:53,19:08,20:10,19:46,18:42,18:22
18:58,19:14,20:18,19:54,18:48,18:27
19:03,19:20,20:26,20:02,18:55,18:32
19:08,19:27,20:34,20:10,19:02,18:37
19:13,19:34,20:42,20:18,19:09,18:42
19:18,19:41,20:50,20:26,19:17,18:47
19:23,19:49,20:58,20:34,19:25,18:52
19:28,19:57,21:06,20:42,19:33,18:57
19:33,20:05,21:14,20:50,19:41,19:02
19:38,20:13,21:22,20:58,19:49,19:07
19:43,20:21,21:30,21:06,19:57,19:12
19:48,20:29,21:38,21:14,20:05,19:17
19:53,20:37,21:46,21:22,20:13,19:22
19:58,20:45,21:54,21:30,20:21,19:27
20:03,20:53,22:02,21:38,20:29,19:32
20:08,21:01,22:10,21:46,20:37,19:39
20:13,21:09,22:18,21:54,20:45,19:47
20:20,21:17,22:26,22:02,20:53,19:55
20:27,21:25,22:34,22:10,21:01,20:03
20:34,21:33,22:42,22:18,21:09,20:11
20:42,21:41,22:50,22:26,21:17,20:19
20:50,21:49,22:58,22:35,21:25,20:27
20:58,21:57,23:07,22:45,21:33,20:35
21:06,22:05,23:17,22:55,21:41,20:43
21:14,22:13,23:28,23:05,21:49,20:51
21:22,22:21,23:40,23:16,21:57,20:59
21:30,22:29,23:53,23:27,22:05,21:07
21:38,22:37,,,22:14,21:15
21:46,22:46,,,22:24,21:23
21:54,22:56,,,22:34,21:31
22:02,23:06,,,22:44,21:39
22:10,23:17,,,22:54,21:47
22:18,23:28,,,23:05,21:55
22:26,23:40,,,23:16,22:03
22:34,23:53,,,23:27,22:11
22:42,,,,,22:19
22:50,,,,,22:27
22:58,,,,,22:36
23:07,,,,,22:45
23:17,,,,,22:55
23:28,,,,,23:05
23:40,,,,,23:16
23:53,,,,,23:27
