상행평일,상행토요일,상행휴일
5:30,5:30,5:30
5:42,5:42,5:42
5:53,5:53,5:53
6:03,6:03,6:03
6:13,6:13,6:13
6:22,6:22,6:22
6:31,6:31,6:31
6:39,6:39,6:39
6:47,6:47,6:47
6:55,6:55,6:55
7:02,7:03,7:03
7:09,7:11,7:11
7:16,7:19,7:19
7:23,7:27,7:27
7:28,7:35,7:35
7:33,7:42,7:43
7:38,7:49,7:51
7:43,7:56,7:59
7:48,8:03,8:07
7:53,8:10,8:15
7:58,8:17,8:23
8:03,8:24,8:31
8:08,8:31,8:39
8:13,8:38,8:47
8:18,8:45,8:55
8:23,8:52,9:03
8:28,8:59,9:11
8:33,9:06,9:19
8:38,9:13,9:27
8:43,9:20,9:35
8:48,9:27,9:43
8:53,9:35,9:51
8:58,9:43,9:59
9:03,9:51,10:07
9:09,9:59,10:15
9:15,10:07,10:23
9:21,10:15,10:31
9:27,10:23,10:39
9:34,10:31,10:47
9:41,10:39,10:55
9:49,10:47,11:03
9:57,10:55,11:11
10:05,11:03,11:19
10:13,11:11,11:27
10:21,11:19,11:35
10:29,11:27,11:43
10:37,11:35,11:51
10:45,11:43,11:59
10:53,11:51,12:07
11:01,11:59,12:15
11:09,12:07,12:23
11:17,12:15,12:31
11:25,12:22,12:39
11:33,12:29,12:47
11:41,12:36,12:55
11:49,12:42,13:03
11:57,12:48,13:11
12:05,12:54,13:19
12:13,13:00,13:27
12:21,13:06,13:35
12:29,13:12,13:43
12:37,13:18,13:51
12:45,13:24,13:59
12:53,13:30,14:07
13:01,13:36,14:15
13:09,13:42,14:23
13:17,13:48,14:31
13:25,13:54,14:39
13:33,14:01,14:47
13:41,14:08,14:55
13:49,14:16,15:03
13:57,14:24,15:11
14:05,14:32,15:19
14:13,14:40,15:27
14:21,14:48,15:35
14:29,14:56,15:43
14:37,15:04,15:51
14:45,15:12,15:59
14:53,15:20,16:07
15:01,15:28,16:15
15:09,15:36,16:23
15:17,15:44,16:31
15:25,15:52,16:39
15:33,16:00,16:47
15:41,16:08,16:55
15:49,16:16,17:03
15:57,16:24,17:11
16:05,16:32,17:19
16:13,16:40,17:27
16:21,16:48,17:35
16:29,16:56,17:43
16:37,17:04,17:51
16:45,17:12,17:59
16:53,17:20,18:07
17:01,17:28,18:15
17:09,17:35,18:23
17:17,17:42,18:31
17:25,17:49,18:39
17:33,17:55,18:47
17:41,18:01,18:55
17:49,18:07,19:03
17:57,18:13,19:11
18:04,18:19,19:19
18:10,18:25,19:27
18:15,18:31,19:35
18:20,18:37,19:43
18:25,18:44,19:51
18:30,18:51,19:59
18:35,18:58,20:07
18:40,19:06,20:15
18:45,19:14,20:23
18:50,19:22,20:31
18:55,19:30,20:39
19:00,19:38,20:47
19:05,19:46,20:55
19:10,19:54,21:03
19:15,20:02,21:11
19:20,20:10,21:19
19:25,20:18,21:27
19:30,20:26,21:35
19:37,20:34,21:43
19:44,20:42,21:51
19:51,20:50,21:59
19:59,20:58,22:07
20:07,21:06,22:15
20:15,21:14,22:24
20:23,21:22,22:34
20:31,21:30,22:45
20:39,21:38,22:57
20:47,21:46,23:09
20:55,21:54,23:23
21:03,22:03,
21:11,22:13,
21:19,22:23,
21:27,22:34,
21:35,22:45,
21:43,22:57,
21:51,23:09,
21:59,23:23,
22:07,,
22:15,,
22:24,,
22:34,,
22:45,,
22:57,,
23:09,,
23:23,,
