상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:47,5:47,5:47,5:39,5:39,5:39
6:02,6:02,6:02,5:52,5:52,5:52
6:13,6:13,6:13,6:02,6:02,6:02
6:24,6:24,6:24,6:12,6:12,6:12
6:35,6:35,6:35,6:20,6:22,6:22
6:45,6:46,6:46,6:27,6:32,6:32
6:55,6:56,6:56,6:34,6:42,6:42
7:05,7:06,7:06,6:41,6:51,6:51
7:15,7:16,7:16,6:48,7:00,7:00
7:25,7:26,7:26,6:55,7:09,7:09
7:33,7:36,7:36,7:01,7:18,7:18
7:40,7:46,7:46,7:06,7:27,7:27
7:48,7:56,7:56,7:11,7:35,7:35
7:54,8:05,8:05,7:16,7:43,7:43
8:00,8:14,8:14,7:21,7:51,7:51
8:06,8:23,8:23,7:26,7:59,7:59
8:13,8:32,8:32,7:31,8:07,8:07
8:18,8:41,8:41,7:36,8:15,8:15
8:23,8:50,8:50,7:41,8:23,8:23
8:28,8:59,8:59,7:46,8:31,8:31
8:33,9:08,9:08,7:51,8:39,8:39
8:38,9:17,9:17,7:56,8:47,8:47
8:42,9:26,9:26,8:01,8:55,8:55
8:47,9:35,9:35,8:06,9:03,9:03
8:52,9:44,9:44,8:11,9:11,9:11
8:57,9:53,9:53,8:16,9:19,9:19
9:02,10:01,10:01,8:21,9:27,9:27
9:07,10:09,10:09,8:26,9:35,9:35
9:12,10:17,10:17,8:32,9:43,9:43
9:18,10:25,10:25,8:38,9:51,9:51
9:23,10:33,10:33,8:44,9:59,9:59
9:28,10:41,10:41,8:50,10:07,10:07
9:34,10:49,10:49,8:57,10:15,10:15
9:41,10:57,10:57,9:04,10:23,10:23
9:48,11:05,11:05,9:11,10:31,10:31
9:55,11:13,11:13,9:18,10:39,10:39
10:02,11:21,11:21,9:25,10:47,10:47
10:09,11:29,11:29,9:32,10:55,10:55
10:16,11:37,11:37,9:39,11:03,11:03
10:23,11:45,11:45,9:46,11:11,11:11
10:30,11:53,11:53,9:53,11:19,11:19
10:37,12:01,12:01,10:00,11:27,11:27
10:44,12:09,12:09,10:07,11:35,11:35
10:52,12:17,12:17,10:14,11:43,11:43
11:00,12:25,12:25,10:21,11:51,11:51
11:08,12:33,12:33,10:28,11:59,11:59
11:16,12:41,12:41,10:36,12:07,12:07
11:24,12:49,12:49,10:44,12:15,12:15
11:32,12:57,12:57,10:52,12:23,12:23
11:40,13:05,13:05,11:00,12:31,12:31
11:48,13:13,13:13,11:08,12:39,12:39
11:56,13:21,13:21,11:16,12:46,12:47
12:04,13:29,13:29,11:24,12:53,12:55
12:12,13:36,13:37,11:32,12:59,13:03
12:20,13:43,13:45,11:40,13:05,13:11
12:28,13:49,13:53,11:48,13:11,13:19
12:36,13:55,14:01,11:56,13:17,13:27
12:44,14:01,14:09,12:04,13:23,13:35
12:52,14:07,14:17,12:12,13:29,13:43
13:00,14:13,14:25,12:20,13:35,13:51
13:08,14:19,14:33,12:28,13:41,13:59
13:16,14:25,14:41,12:36,13:47,14:07
13:24,14:31,14:49,12:44,13:53,14:15
13:32,14:37,14:57,12:52,13:59,14:23
13:40,14:43,15:05,13:00,14:05,14:31
13:48,14:49,15:13,13:08,14:11,14:39
13:56,14:55,15:21,13:16,14:17,14:47
14:04,15:01,15:29,13:24,14:23,14:55
14:12,15:07,15:37,13:32,14:29,15:03
14:20,15:13,15:45,13:40,14:35,15:11
14:28,15:19,15:53,13:48,14:41,15:19
14:36,15:25,16:01,13:56,14:47,15:27
14:44,15:31,16:09,14:04,14:55,15:35
14:52,15:38,16:17,14:12,15:03,15:43
15:00,15:45,16:25,14:20,15:11,15:51
15:08,15:53,16:33,14:28,15:19,15:59
15:16,16:01,16:41,14:36,15:27,16:07
15:24,16:09,16:49,14:44,15:35,16:15
15:32,16:17,16:57,14:52,15:43,16:23
15:40,16:25,17:05,15:00,15:51,16:31
15:48,16:33,17:13,15:08,15:59,16:39
15:56,16:41,17:21,15:16,16:07,16:47
16:04,16:49,17:29,15:24,16:15,16:55
16:12,16:57,17:37,15:32,16:23,17:03
16:20,17:05,17:45,15:40,16:31,17:11
16:28,17:13,17:53,15:48,16:39,17:19
16:36,17:21,18:02,15:56,16:47,17:27
16:44,17:29,18:09,16:04,16:55,17:35
16:52,17:37,18:16,16:12,17:03,17:43
17:00,17:45,18:23,16:20,17:11,17:50
17:08,17:53,18:30,16:28,17:19,17:57
17:16,18:01,18:37,16:36,17:26,18:04
17:24,18:09,18:44,16:44,17:32,18:11
17:32,18:16,18:51,16:52,17:38,18:18
