상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:37,5:37,5:37,6:03,6:03,6:03
5:48,5:48,5:48,6:17,6:17,6:17
5:59,5:59,5:59,6:27,6:27,6:27
6:10,6:10,6:10,6:37,6:37,6:37
6:20,6:21,6:21,6:45,6:47,6:47
6:30,6:31,6:31,6:52,6:57,6:57
6:40,6:41,6:41,6:59,7:07,7:07
6:50,6:51,6:51,7:06,7:16,7:16
7:00,7:01,7:01,7:13,7:25,7:25
7:08,7:11,7:11,7:20,7:34,7:34
7:15,7:21,7:21,7:26,7:43,7:43
7:23,7:31,7:31,7:31,7:52,7:52
7:29,7:40,7:40,7:36,8:00,8:00
7:35,7:49,7:49,7:41,8:08,8:08
7:41,7:58,7:58,7:46,8:16,8:16
7:48,8:07,8:07,7:51,8:24,8:24
7:53,8:16,8:16,7:56,8:32,8:32
7:58,8:25,8:25,8:01,8:40,8:40
8:03,8:34,8:34,8:06,8:48,8:48
8:08,8:43,8:43,8:11,8:56,8:56
8:13,8:52,8:52,8:16,9:04,9:04
8:17,9:01,9:01,8:21,9:12,9:12
8:22,9:10,9:10,8:26,9:20,9:20
8:27,9:19,9:19,8:31,9:28,9:28
8:32,9:28,9:28,8:36,9:36,9:36
8:37,9:36,9:36,8:41,9:44,9:44
8:42,9:44,9:44,8:46,9:52,9:52
8:47,9:52,9:52,8:51,10:00,10:00
8:53,10:00,10:00,8:57,10:08,10:08
8:58,10:08,10:08,9:03,10:16,10:16
9:03,10:16,10:16,9:09,10:24,10:24
9:09,10:24,10:24,9:15,10:32,10:32
9:16,10:32,10:32,9:22,10:40,10:40
9:23,10:40,10:40,9:29,10:48,10:48
9:30,10:48,10:48,9:36,10:56,10:56
9:37,10:56,10:56,9:43,11:04,11:04
9:44,11:04,11:04,9:50,11:12,11:12
9:51,11:12,11:12,9:57,11:20,11:20
9:58,11:20,11:20,10:04,11:28,11:28
10:05,11:28,11:28,10:11,11:36,11:36
10:12,11:36,11:36,10:18,11:44,11:44
10:19,11:44,11:44,10:25,11:52,11:52
10:27,11:52,11:52,10:32,12:00,12:00
10:35,12:00,12:00,10:39,12:08,12:08
10:43,12:08,12:08,10:46,12:16,12:16
10:51,12:16,12:16,10:53,12:24,12:24
10:59,12:24,12:24,11:01,12:32,12:32
11:07,12:32,12:32,11:09,12:40,12:40
11:15,12:40,12:40,11:17,12:48,12:48
11:23,12:48,12:48,11:25,12:56,12:56
11:31,12:56,12:56,11:33,13:04,13:04
11:39,13:04,13:04,11:41,13:11,13:12
11:47,13:11,13:12,11:49,13:18,13:20
11:55,13:18,13:20,11:57,13:24,13:28
12:03,13:24,13:28,12:05,13:30,13:36
12:11,13:30,13:36,12:13,13:36,13:44
12:19,13:36,13:44,12:21,13:42,13:52
12:27,13:42,13:52,12:29,13:48,14:00
12:35,13:48,14:00,12:37,13:54,14:08
12:43,13:54,14:08,12:45,14:00,14:16
12:51,14:00,14:16,12:53,14:06,14:24
12:59,14:06,14:24,13:01,14:12,14:32
13:07,14:12,14:32,13:09,14:18,14:40
13:15,14:18,14:40,13:17,14:24,14:48
13:23,14:24,14:48,13:25,14:30,14:56
13:31,14:30,14:56,13:33,14:36,15:04
13:39,14:36,15:04,13:41,14:42,15:12
13:47,14:42,15:12,13:49,14:48,15:20
13:55,14:48,15:20,13:57,14:54,15:28
14:03,14:54,15:28,14:05,15:00,15:36
14:11,15:00,15:36,14:13,15:06,15:44
14:19,15:06,15:44,14:21,15:12,15:52
14:27,15:13,15:52,14:29,15:20,16:00
14:35,15:20,16:00,14:37,15:28,16:08
14:43,15:28,16:08,14:45,15:36,16:16
14:51,15:36,16:16,14:53,15:44,16:24
14:59,15:44,16:24,15:01,15:52,16:32
15:07,15:52,16:32,15:09,16:00,16:40
15:15,16:00,16:40,15:17,16:08,16:48
15:23,16:08,16:48,15:25,16:16,16:56
15:31,16:16,16:56,15:33,16:24,17:04
15:39,16:24,17:04,15:41,16:32,17:12
15:47,16:32,17:12,15:49,16:40,17:20
15:55,16:40,17:20,15:57,16:48,17:28
16:03,16:48,17:28,16:05,16:56,17:36
16:11,16:56,17:37,16:13,17:04,17:44
16:19,17:04,17:44,16:21,17:12,17:52
16:27,17:12,17:51,16:29,17:20,18:00
16:35,17:20,17:58,16:37,17:28,18:08
16:43,17:28,18:05,16:45,17:36,18:15
16:51,17:36,18:12,16:53,17:44,18:22
16:59,17:44,18:19,17:01,17:51,18:29
17:07,17:51,18:26,17:09,17:57,18:36
17:14,17:57,18:33,17:17,18:03,18:43
17:21,18:03,18:40,17:25,18:09,18:50
17:28,18:09,18:47,17:33,18:15,18:57
17:36,18:15,18:54,17:41,18:21,19:04
17:42,18:21,19:01,17:48,18:27,19:11
17:49,18:27,19:08,17:55,18:33,19:18
