상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:42,5:42,5:42,5:44,5:44,5:44
5:57,5:57,5:57,5:58,5:58,5:58
6:08,6:08,6:08,6:08,6:08,6:08
6:19,6:19,6:19,6:18,6:18,6:18
6:30,6:30,6:30,6:26,6:28,6:28
6:40,6:41,6:41,6:33,6:38,6:38
6:50,6:51,6:51,6:40,6:48,6:48
7:00,7:01,7:01,6:47,6:57,6:57
7:10,7:11,7:11,6:54,7:06,7:06
7:20,7:21,7:21,7:01,7:15,7:15
7:28,7:31,7:31,7:07,7:24,7:24
7:35,7:41,7:41,7:12,7:33,7:33
7:42,7:51,7:51,7:17,7:41,7:41
7:49,8:00,8:00,7:22,7:49,7:49
7:55,8:09,8:09,7:27,7:57,7:57
8:01,8:18,8:18,7:32,8:05,8:05
8:07,8:27,8:27,7:37,8:13,8:13
8:12,8:36,8:36,7:42,8:21,8:21
8:17,8:45,8:45,7:47,8:29,8:29
8:22,8:54,8:54,7:52,8:37,8:37
8:27,9:03,9:03,7:57,8:45,8:45
8:32,9:12,9:12,8:02,8:53,8:53
8:37,9:21,9:21,8:07,9:01,9:01
8:42,9:30,9:30,8:12,9:09,9:09
8:47,9:39,9:39,8:17,9:17,9:17
8:52,9:48,9:48,8:22,9:25,9:25
8:57,9:56,9:56,8:27,9:33,9:33
9:02,10:04,10:04,8:32,9:41,9:41
9:07,10:12,10:12,8:38,9:49,9:49
9:12,10:20,10:20,8:44,9:57,9:57
9:17,10:28,10:28,8:50,10:05,10:05
9:23,10:36,10:36,8:56,10:13,10:13
9:29,10:44,10:44,9:03,10:21,10:21
9:36,10:52,10:52,9:10,10:29,10:29
9:43,11:00,11:00,9:17,10:37,10:37
9:50,11:08,11:08,9:24,10:45,10:45
9:57,11:16,11:16,9:31,10:53,10:53
10:04,11:24,11:24,9:38,11:01,11:01
10:11,11:32,11:32,9:45,11:09,11:09
10:18,11:40,11:40,9:52,11:17,11:17
10:25,11:48,11:48,9:59,11:25,11:25
10:32,11:56,11:56,10:06,11:33,11:33
10:39,12:04,12:04,10:13,11:41,11:41
10:47,12:12,12:12,10:20,11:49,11:49
10:55,12:20,12:20,10:27,11:57,11:57
11:03,12:28,12:28,10:34,12:05,12:05
11:11,12:36,12:36,10:42,12:13,12:13
11:19,12:44,12:44,10:50,12:21,12:21
11:27,12:52,12:52,10:58,12:29,12:29
11:35,13:00,13:00,11:06,12:37,12:37
11:43,13:08,13:08,11:14,12:45,12:45
11:51,13:16,13:16,11:22,12:52,12:53
11:59,13:24,13:24,11:30,12:59,13:01
12:07,13:31,13:32,11:38,13:05,13:09
12:15,13:38,13:40,11:46,13:11,13:17
12:23,13:44,13:48,11:54,13:17,13:25
12:31,13:50,13:56,12:02,13:23,13:33
12:39,13:56,14:04,12:10,13:29,13:41
12:47,14:02,14:12,12:18,13:35,13:49
12:55,14:08,14:20,12:26,13:41,13:57
13:03,14:14,14:28,12:34,13:47,14:05
13:11,14:20,14:36,12:42,13:53,14:13
13:19,14:26,14:44,12:50,13:59,14:21
13:27,14:32,14:52,12:58,14:05,14:29
13:35,14:38,15:00,13:06,14:11,14:37
13:43,14:44,15:08,13:14,14:17,14:45
13:51,14:50,15:16,13:22,14:23,14:53
13:59,14:56,15:24,13:30,14:29,15:01
14:07,15:02,15:32,13:38,14:35,15:09
14:15,15:08,15:40,13:46,14:41,15:17
14:23,15:14,15:48,13:54,14:47,15:25
14:31,15:20,15:56,14:02,14:53,15:33
14:39,15:26,16:04,14:10,15:01,15:41
14:47,15:33,16:12,14:18,15:09,15:49
14:55,15:40,16:20,14:26,15:17,15:57
15:03,15:48,16:28,14:34,15:25,16:05
15:11,15:56,16:36,14:42,15:33,16:13
15:19,16:04,16:44,14:50,15:41,16:21
15:27,16:12,16:52,14:58,15:49,16:29
15:35,16:20,17:00,15:06,15:57,16:37
15:43,16:28,17:08,15:14,16:05,16:45
15:51,16:36,17:16,15:22,16:13,16:53
15:59,16:44,17:24,15:30,16:21,17:01
16:07,16:52,17:32,15:38,16:29,17:09
16:15,17:00,17:40,15:46,16:37,17:17
16:23,17:08,17:48,15:54,16:45,17:25
16:31,17:16,17:56,16:02,16:53,17:33
16:39,17:24,18:03,16:10,17:01,17:41
16:47,17:32,18:10,16:18,17:09,17:49
16:55,17:40,18:17,16:26,17:17,17:56
17:03,17:48,18:24,16:34,17:25,18:03
17:11,17:56,18:31,16:42,17:32,18:10
17:19,18:04,18:38,16:50,17:38,18:17
17:27,18:11,18:45,16:58,17:44,18:24
17:34,18:17,18:52,17:06,17:50,18:31
17:41,18:23,18:59,17:14,17:56,18:38
17:48,18:29,19:06,17:22,18:02,18:45
17:55,18:35,19:13,17:29,18:08,18:52
18:02,18:41,19:20,17:36,18:14,18:59
18:09,18:47,19:27,17:43,18:20,19:06
18:16,18:53,19:34,17:49,18:26,19:13
18:23,18:59,19:41,17:55,18:32,19:20
18:30,19:05,19:48,18:00,18:38,19:27
18:37,19:11,19:55,18:05,18:44,19:34
18:42,19:17,20:02,18:10,18:50,19:41
18:47,19:23,20:09,18:15,18:56,19:48
18:52,19:29,20:16,18:20,19:02,19:55
18:57,19:35,20:23,18:25,19:08,20:02
19:02,19:41,20:30,18:30,19:14,20:10
19:07,19:47,20:37,18:35,19:20,20:18
19:12,19:53,20:44,18:40,19:26,20:26
19:17,19:59,20:51,18:45,19:32,20:34
19:22,20:05,20:58,18:50,19:38,20:42
