상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:54,5:54,5:54,5:32,5:32,5:32
6:09,6:09,6:09,5:45,5:45,5:45
6:20,6:20,6:20,5:55,5:55,5:55
6:31,6:31,6:31,6:05,6:05,6:05
6:42,6:42,6:42,6:13,6:15,6:15
6:52,6:53,6:53,6:20,6:25,6:25
7:02,7:03,7:03,6:27,6:35,6:35
7:12,7:13,7:13,6:34,6:44,6:44
7:22,7:23,7:23,6:41,6:53,6:53
7:32,7:33,7:33,6:48,7:02,7:02
7:40,7:43,7:43,6:54,7:11,7:11
7:47,7:53,7:53,6:59,7:20,7:20
7:55,8:03,8:03,7:04,7:28,7:28
8:01,8:12,8:12,7:09,7:36,7:36
8:07,8:21,8:21,7:14,7:44,7:44
8:13,8:30,8:30,7:19,7:52,7:52
8:20,8:39,8:39,7:24,8:00,8:00
8:25,8:48,8:48,7:29,8:08,8:08
8:30,8:57,8:57,7:34,8:16,8:16
8:35,9:06,9:06,7:39,8:24,8:24
8:40,9:15,9:15,7:44,8:32,8:32
8:45,9:24,9:24,7:49,8:40,8:40
8:49,9:33,9:33,7:54,8:48,8:48
8:54,9:42,9:42,7:59,8:56,8:56
8:59,9:51,9:51,8:04,9:04,9:04
9:04,10:00,10:00,8:09,9:12,9:12
9:09,10:08,10:08,8:14,9:20,9:20
9:14,10:16,10:16,8:19,9:28,9:28
9:19,10:24,10:24,8:25,9:36,9:36
9:25,10:32,10:32,8:31,9:44,9:44
9:30,10:40,10:40,8:37,9:52,9:52
9:35,10:48,10:48,8:43,10:00,10:00
9:41,10:56,10:56,8:50,10:08,10:08
9:48,11:04,11:04,8:57,10:16,10:16
9:55,11:12,11:12,9:04,10:24,10:24
10:02,11:20,11:20,9:11,10:32,10:32
10:09,11:28,11:28,9:18,10:40,10:40
10:16,11:36,11:36,9:25,10:48,10:48
10:23,11:44,11:44,9:32,10:56,10:56
10:30,11:52,11:52,9:39,11:04,11:04
10:37,12:00,12:00,9:46,11:12,11:12
