상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:40,5:40,5:40,5:46,5:46,5:46
5:55,5:55,5:55,6:00,6:00,6:00
6:06,6:06,6:06,6:10,6:10,6:10
6:17,6:17,6:17,6:20,6:20,6:20
6:28,6:28,6:28,6:28,6:30,6:30
6:38,6:39,6:39,6:35,6:40,6:40
6:48,6:49,6:49,6:42,6:50,6:50
6:58,6:59,6:59,6:49,6:59,6:59
7:08,7:09,7:09,6:56,7:08,7:08
7:18,7:19,7:19,7:03,7:17,7:17
7:26,7:29,7:29,7:09,7:26,7:26
7:33,7:39,7:39,7:14,7:35,7:35
7:40,7:49,7:49,7:19,7:43,7:43
7:47,7:58,7:58,7:24,7:51,7:51
7:53,8:07,8:07,7:29,7:59,7:59
7:59,8:16,8:16,7:34,8:07,8:07
8:05,8:25,8:25,7:39,8:15,8:15
8:10,8:34,8:34,7:44,8:23,8:23
8:15,8:43,8:43,7:49,8:31,8:31
8:20,8:52,8:52,7:54,8:39,8:39
8:25,9:01,9:01,7:59,8:47,8:47
8:30,9:10,9:10,8:04,8:55,8:55
8:35,9:19,9:19,8:09,9:03,9:03
8:40,9:28,9:28,8:14,9:11,9:11
8:45,9:37,9:37,8:19,9:19,9:19
8:50,9:46,9:46,8:24,9:27,9:27
8:55,9:54,9:54,8:29,9:35,9:35
9:00,10:02,10:02,8:34,9:43,9:43
9:05,10:10,10:10,8:40,9:51,9:51
9:10,10:18,10:18,8:46,9:59,9:59
9:15,10:26,10:26,8:52,10:07,10:07
9:21,10:34,10:34,8:58,10:15,10:15
9:27,10:42,10:42,9:05,10:23,10:23
9:34,10:50,10:50,9:12,10:31,10:31
9:41,10:58,10:58,9:19,10:39,10:39
9:48,11:06,11:06,9:26,10:47,10:47
9:55,11:14,11:14,9:33,10:55,10:55
10:02,11:22,11:22,9:40,11:03,11:03
10:09,11:30,11:30,9:47,11:11,11:11
10:16,11:38,11:38,9:54,11:19,11:19
10:23,11:46,11:46,10:01,11:27,11:27
10:30,11:54,11:54,10:08,11:35,11:35
10:37,12:02,12:02,10:15,11:43,11:43
10:45,12:10,12:10,10:22,11:51,11:51
10:53,12:18,12:18,10:29,11:59,11:59
11:01,12:26,12:26,10:36,12:07,12:07
11:09,12:34,12:34,10:44,12:15,12:15
11:17,12:42,12:42,10:52,12:23,12:23
11:25,12:50,12:50,11:00,12:31,12:31
11:33,12:58,12:58,11:08,12:39,12:39
11:41,13:06,13:06,11:16,12:47,12:47
11:49,13:14,13:14,11:24,12:54,12:55
11:57,13:22,13:22,11:32,13:01,13:03
12:05,13:29,13:30,11:40,13:07,13:11
12:13,13:36,13:38,11:48,13:13,13:19
12:21,13:42,13:46,11:56,13:19,13:27
12:29,13:48,13:54,12:04,13:25,13:35
12:37,13:54,14:02,12:12,13:31,13:43
12:45,14:00,14:10,12:20,13:37,13:51
12:53,14:06,14:18,12:28,13:43,13:59
13:01,14:12,14:26,12:36,13:49,14:07
13:09,14:18,14:34,12:44,13:55,14:15
13:17,14:24,14:42,12:52,14:01,14:23
13:25,14:30,14:50,13:00,14:07,14:31
13:33,14:36,14:58,13:08,14:13,14:39
13:41,14:42,15:06,13:16,14:19,14:47
13:49,14:48,15:14,13:24,14:25,14:55
13:57,14:54,15:22,13:32,14:31,15:03
14:05,15:00,15:30,13:40,14:37,15:11
14:13,15:06,15:38,13:48,14:43,15:19
14:21,15:12,15:46,13:56,14:49,15:27
14:29,15:18,15:54,14:04,14:55,15:35
14:37,15:24,16:02,14:12,15:03,15:43
14:45,15:31,16:10,14:20,15:11,15:51
14:53,15:38,16:18,14:28,15:19,15:59
