상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:32,5:32,5:32,6:09,6:09,6:09
5:43,5:43,5:43,6:23,6:23,6:23
5:54,5:54,5:54,6:33,6:33,6:33
6:05,6:05,6:05,6:43,6:43,6:43
6:15,6:16,6:16,6:51,6:53,6:53
6:25,6:26,6:26,6:58,7:03,7:03
6:35,6:36,6:36,7:05,7:13,7:13
6:45,6:46,6:46,7:12,7:22,7:22
6:55,6:56,6:56,7:19,7:31,7:31
7:03,7:06,7:06,7:26,7:40,7:40
7:10,7:16,7:16,7:32,7:49,7:49
7:17,7:26,7:26,7:37,7:58,7:58
7:24,7:35,7:35,7:42,8:06,8:06
7:30,7:44,7:44,7:47,8:14,8:14
7:36,7:53,7:53,7:52,8:22,8:22
7:42,8:02,8:02,7:57,8:30,8:30
7:47,8:11,8:11,8:02,8:38,8:38
7:52,8:20,8:20,8:07,8:46,8:46
7:57,8:29,8:29,8:12,8:54,8:54
8:02,8:38,8:38,8:17,9:02,9:02
8:07,8:47,8:47,8:22,9:10,9:10
8:12,8:56,8:56,8:27,9:18,9:18
8:17,9:05,9:05,8:32,9:26,9:26
8:22,9:14,9:14,8:37,9:34,9:34
8:27,9:23,9:23,8:42,9:42,9:42
8:32,9:31,9:31,8:47,9:50,9:50
8:37,9:39,9:39,8:52,9:58,9:58
8:42,9:47,9:47,8:57,10:06,10:06
8:47,9:55,9:55,9:03,10:14,10:14
8:52,10:03,10:03,9:09,10:22,10:22
8:58,10:11,10:11,9:15,10:30,10:30
9:04,10:19,10:19,9:21,10:38,10:38
9:11,10:27,10:27,9:28,10:46,10:46
9:18,10:35,10:35,9:35,10:54,10:54
9:25,10:43,10:43,9:42,11:02,11:02
9:32,10:51,10:51,9:49,11:10,11:10
9:39,10:59,10:59,9:56,11:18,11:18
9:46,11:07,11:07,10:03,11:26,11:26
9:53,11:15,11:15,10:10,11:34,11:34
10:00,11:23,11:23,10:17,11:42,11:42
10:07,11:31,11:31,10:24,11:50,11:50
10:14,11:39,11:39,10:31,11:58,11:58
10:22,11:47,11:47,10:38,12:06,12:06
10:30,11:55,11:55,10:45,12:14,12:14
10:38,12:03,12:03,10:52,12:22,12:22
10:46,12:11,12:11,10:59,12:30,12:30
10:54,12:19,12:19,11:07,12:38,12:38
11:02,12:27,12:27,11:15,12:46,12:46
11:10,12:35,12:35,11:23,12:54,12:54
11:18,12:43,12:43,11:31,13:02,13:02
11:26,12:51,12:51,11:39,13:10,13:10
11:34,12:59,12:59,11:47,13:17,13:18
11:42,13:06,13:07,11:55,13:24,13:26
11:50,13:13,13:15,12:03,13:30,13:34
11:58,13:19,13:23,12:11,13:36,13:42
12:06,13:25,13:31,12:19,13:42,13:50
12:14,13:31,13:39,12:27,13:48,13:58
12:22,13:37,13:47,12:35,13:54,14:06
12:30,13:43,13:55,12:43,14:00,14:14
12:38,13:49,14:03,12:51,14:06,14:22
12:46,13:55,14:11,12:59,14:12,14:30
12:54,14:01,14:19,13:07,14:18,14:38
13:02,14:07,14:27,13:15,14:24,14:46
13:10,14:13,14:35,13:23,14:30,14:54
13:18,14:19,14:43,13:31,14:36,15:02
13:26,14:25,14:51,13:39,14:42,15:10
13:34,14:31,14:59,13:47,14:48,15:18
13:42,14:37,15:07,13:55,14:54,15:26
13:50,14:43,15:15,14:03,15:00,15:34
13:58,14:49,15:23,14:11,15:06,15:42
14:06,14:55,15:31,14:19,15:12,15:50
14:14,15:01,15:39,14:27,15:18,15:58
14:22,15:08,15:47,14:35,15:26,16:06
14:30,15:15,15:55,14:43,15:34,16:14
14:38,15:23,16:03,14:51,15:42,16:22
14:46,15:31,16:11,14:59,15:50,16:30
14:54,15:39,16:19,15:07,15:58,16:38
15:02,15:47,16:27,15:15,16:06,16:46
15:10,15:55,16:35,15:23,16:14,16:54
15:18,16:03,16:43,15:31,16:22,17:02
15:26,16:11,16:51,15:39,16:30,17:10
15:34,16:19,16:59,15:47,16:38,17:18
15:42,16:27,17:07,15:55,16:46,17:26
15:50,16:35,17:15,16:03,16:54,17:34
15:58,16:43,17:23,16:11,17:02,17:42
16:06,16:51,17:31,16:19,17:10,17:50
16:14,16:59,17:38,16:27,17:18,17:58
16:22,17:07,17:45,16:35,17:26,18:06
16:30,17:15,17:52,16:43,17:34,18:14
16:38,17:23,17:59,16:51,17:42,18:21
16:46,17:31,18:06,16:59,17:50,18:28
16:54,17:39,18:13,17:07,17:57,18:35
17:02,17:46,18:20,17:15,18:03,18:42
17:09,17:52,18:27,17:23,18:09,18:49
17:16,17:58,18:34,17:31,18:15,18:56
17:23,18:04,18:41,17:39,18:21,19:03
17:30,18:10,18:48,17:47,18:27,19:10
17:37,18:16,18:55,17:54,18:33,19:17
17:44,18:22,19:02,18:01,18:39,19:24
17:51,18:28,19:09,18:08,18:45,19:31
17:58,18:34,19:16,18:14,18:51,19:38
18:05,18:40,19:23,18:20,18:57,19:45
18:12,18:46,19:30,18:25,19:03,19:52
18:17,18:52,19:37,18:30,19:09,19:59
18:22,18:58,19:44,18:35,19:15,20:06
18:27,19:04,19:51,18:40,19:21,20:13
18:32,19:10,19:58,18:45,19:27,20:20
18:37,19:16,20:05,18:50,19:33,20:27
18:42,19:22,20:12,18:55,19:39,20:35
18:47,19:28,20:19,19:00,19:45,20:43
18:52,19:34,20:26,19:05,19:51,20:51
18:57,19:40,20:33,19:10,19:57,20:59
19:02,19:46,20:40,19:15,20:03,21:07
19:07,19:52,20:48,19:20,20:11,21:15
19:12,19:58,20:56,19:25,20:19,21:23
19:17,20:04,21:04,19:30,20:27,21:31
19:22,20:10,21:12,19:35,20:35,21:40
19:27,20:17,21:20,19:40,20:43,21:49
19:32,20:24,21:28,19:45,20:51,21:58
19:37,20:32,21:36,19:52,20:59,22:07
19:43,20:40,21:44,19:59,21:07,22:16
19:49,20:48,21:52,20:07,21:15,22:25
19:56,20:56,22:00,20:15,21:23,22:34
20:03,21:04,22:09,20:23,21:31,22:43
20:10,21:12,22:18,20:31,21:40,22:53
20:17,21:20,22:27,20:39,21:49,23:03
20:24,21:28,22:37,20:47,21:58,23:14
20:31,21:36,22:47,20:55,22:07,23:25
20:38,21:44,22:57,21:03,22:16,23:36
20:46,21:52,23:08,21:11,22:25,23:47
20:54,22:00,23:20,21:20,22:34,23:58
21:02,22:09,,21:29,22:43,
21:10,22:18,,21:38,22:53,
21:18,22:27,,21:47,23:03,
21:26,22:37,,21:56,23:14,
21:34,22:47,,22:05,23:25,
21:42,22:57,,22:14,23:36,
21:51,23:08,,22:23,23:47,
22:00,23:20,,22:33,23:58,
22:09,,,22:43,,
22:18,,,22:53,,
22:27,,,23:03,,
22:37,,,23:14,,
22:47,,,23:25,,
22:57,,,23:36,,
23:08,,,23:47,,
23:20,,,23:58,,
