상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:51,5:51,5:51,5:35,5:35,5:35
6:06,6:06,6:06,5:49,5:49,5:49
6:17,6:17,6:17,5:59,5:59,5:59
6:28,6:28,6:28,6:09,6:09,6:09
6:39,6:39,6:39,6:17,6:19,6:19
6:49,6:50,6:50,6:24,6:29,6:29
6:59,7:00,7:00,6:31,6:39,6:39
7:09,7:10,7:10,6:38,6:48,6:48
7:19,7:20,7:20,6:45,6:57,6:57
7:29,7:30,7:30,6:52,7:06,7:06
7:37,7:40,7:40,6:58,7:15,7:15
7:44,7:50,7:50,7:03,7:24,7:24
7:51,8:00,8:00,7:08,7:32,7:32
7:58,8:09,8:09,7:13,7:40,7:40
8:04,8:18,8:18,7:18,7:48,7:48
8:10,8:27,8:27,7:23,7:56,7:56
8:16,8:36,8:36,7:28,8:04,8:04
8:21,8:45,8:45,7:33,8:12,8:12
8:26,8:54,8:54,7:38,8:20,8:20
8:31,9:03,9:03,7:43,8:28,8:28
8:36,9:12,9:12,7:48,8:36,8:36
8:41,9:21,9:21,7:53,8:44,8:44
8:46,9:30,9:30,7:58,8:52,8:52
8:51,9:39,9:39,8:03,9:00,9:00
8:56,9:48,9:48,8:08,9:08,9:08
9:01,9:57,9:57,8:13,9:16,9:16
9:06,10:05,10:05,8:18,9:24,9:24
9:11,10:13,10:13,8:23,9:32,9:32
9:16,10:21,10:21,8:29,9:40,9:40
9:21,10:29,10:29,8:35,9:48,9:48
9:26,10:37,10:37,8:41,9:56,9:56
9:32,10:45,10:45,8:47,10:04,10:04
9:38,10:53,10:53,8:54,10:12,10:12
9:45,11:01,11:01,9:01,10:20,10:20
9:52,11:09,11:09,9:08,10:28,10:28
9:59,11:17,11:17,9:15,10:36,10:36
10:06,11:25,11:25,9:22,10:44,10:44
10:13,11:33,11:33,9:29,10:52,10:52
10:20,11:41,11:41,9:36,11:00,11:00
10:27,11:49,11:49,9:43,11:08,11:08
10:34,11:57,11:57,9:50,11:16,11:16
10:41,12:05,12:05,9:57,11:24,11:24
10:48,12:13,12:13,10:04,11:32,11:32
10:56,12:21,12:21,10:11,11:40,11:40
11:04,12:29,12:29,10:18,11:48,11:48
11:12,12:37,12:37,10:25,11:56,11:56
11:20,12:45,12:45,10:33,12:04,12:04
11:28,12:53,12:53,10:41,12:12,12:12
11:36,13:01,13:01,10:49,12:20,12:20
11:44,13:09,13:09,10:57,12:28,12:28
11:52,13:17,13:17,11:05,12:36,12:36
12:00,13:25,13:25,11:13,12:43,12:44
12:08,13:33,13:33,11:21,12:50,12:52
12:16,13:40,13:41,11:29,12:56,13:00
12:24,13:47,13:49,11:37,13:02,13:08
12:32,13:53,13:57,11:45,13:08,13:16
12:40,13:59,14:05,11:53,13:14,13:24
12:48,14:05,14:13,12:01,13:20,13:32
12:56,14:11,14:21,12:09,13:26,13:40
13:04,14:17,14:29,12:17,13:32,13:48
13:12,14:23,14:37,12:25,13:38,13:56
13:20,14:29,14:45,12:33,13:44,14:04
13:28,14:35,14:53,12:41,13:50,14:12
13:36,14:41,15:01,12:49,13:56,14:20
13:44,14:47,15:09,12:57,14:02,14:28
13:52,14:53,15:17,13:05,14:08,14:36
14:00,14:59,15:25,13:13,14:14,14:44
14:08,15:05,15:33,13:21,14:20,14:52
14:16,15:11,15:41,13:29,14:26,15:00
14:24,15:17,15:49,13:37,14:32,15:08
14:32,15:23,15:57,13:45,14:38,15:16
14:40,15:29,16:05,13:53,14:44,15:24
14:48,15:35,16:13,14:01,14:52,15:32
14:56,15:42,16:21,14:09,15:00,15:40
15:04,15:49,16:29,14:17,15:08,15:48
15:12,15:57,16:37,14:25,15:16,15:56
15:20,16:05,16:45,14:33,15:24,16:04
15:28,16:13,16:53,14:41,15:32,16:12
15:36,16:21,17:01,14:49,15:40,16:20
15:44,16:29,17:09,14:57,15:48,16:28
15:52,16:37,17:17,15:05,15:56,16:36
16:00,16:45,17:25,15:13,16:04,16:44
16:08,16:53,17:33,15:21,16:12,16:52
16:16,17:01,17:41,15:29,16:20,17:00
16:24,17:09,17:49,15:37,16:28,17:08
16:32,17:17,17:57,15:45,16:36,17:16
16:40,17:25,18:05,15:53,16:44,17:24
16:48,17:33,18:12,16:01,16:52,17:32
16:56,17:41,18:19,16:09,17:00,17:40
17:04,17:49,18:26,16:17,17:08,17:47
17:12,17:57,18:33,16:25,17:16,17:54
17:20,18:05,18:40,16:33,17:23,18:01
17:28,18:13,18:47,16:41,17:29,18:08
17:36,18:20,18:54,16:49,17:35,18:15
17:43,18:26,19:01,16:57,17:41,18:22
17:50,18:32,19:08,17:05,17:47,18:29
17:57,18:38,19:15,17:13,17:53,18:36
18:04,18:44,19:22,17:20,17:59,18:43
18:11,18:50,19:29,17:27,18:05,18:50
18:18,18:56,19:36,17:34,18:11,18:57
18:25,19:02,19:43,17:40,18:17,19:04
18:32,19:08,19:50,17:46,18:23,19:11
18:39,19:14,19:57,17:51,18:29,19:18
18:46,19:20,20:04,17:56,18:35,19:25
18:51,19:26,20:11,18:01,18:41,19:32
18:56,19:32,20:18,18:06,18:47,19:39
19:01,19:38,20:25,18:11,18:53,19:46
19:06,19:44,20:32,18:16,18:59,19:53
19:11,19:50,20:39,18:21,19:05,20:01
19:16,19:56,20:46,18:26,19:11,20:09
19:21,20:02,20:53,18:31,19:17,20:17
19:26,20:08,21:00,18:36,19:23,20:25
19:31,20:14,21:07,18:41,19:29,20:33
19:36,20:20,21:14,18:46,19:37,20:41
19:41,20:26,21:22,18:51,19:45,20:49
19:46,20:32,21:30,18:56,19:53,20:57
19:51,20:38,21:38,19:01,20:01,21:06
19:56,20:44,21:46,19:06,20:09,21:15
20:01,20:51,21:54,19:11,20:17,21:24
20:06,20:58,22:02,19:18,20:25,21:33
20:11,21:06,22:10,19:25,20:33,21:42
20:17,21:14,22:18,19:33,20:41,21:51
20:23,21:22,22:26,19:41,20:49,22:00
20:30,21:30,22:34,19:49,20:57,22:09
20:37,21:38,22:43,19:57,21:06,22:19
20:44,21:46,22:52,20:05,21:15,22:29
20:51,21:54,23:01,20:13,21:24,22:40
20:58,22:02,23:11,20:21,21:33,22:51
21:05,22:10,23:21,20:29,21:42,23:02
21:12,22:18,23:31,20:37,21:51,23:13
21:20,22:26,23:42,20:46,22:00,23:24
21:28,22:34,23:54,20:55,22:09,23:39
21:36,22:43,,21:04,22:19,
21:44,22:52,,21:13,22:29,
21:52,23:01,,21:22,22:40,
22:00,23:11,,21:31,22:51,
22:08,23:21,,21:40,23:02,
22:16,23:31,,21:49,23:13,
22:25,23:42,,21:59,23:24,
22:34,23:54,,22:09,23:39,
22:43,,,22:19,,
22:52,,,22:29,,
23:01,,,22:40,,
23:11,,,22:51,,
23:21,,,23:02,,
23:31,,,23:13,,
23:42,,,23:24,,
23:54,,,23:39,,
