상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:58,5:58,5:58,5:42,5:42,5:42
6:13,6:13,6:13,5:52,5:52,5:52
6:24,6:24,6:24,6:02,6:02,6:02
6:35,6:35,6:35,6:10,6:12,6:12
6:46,6:46,6:46,6:17,6:22,6:22
6:56,6:57,6:57,6:24,6:32,6:32
7:06,7:07,7:07,6:31,6:41,6:41
7:16,7:17,7:17,6:38,6:50,6:50
7:26,7:27,7:27,6:45,6:59,6:59
7:36,7:37,7:37,6:51,7:08,7:08
7:44,7:47,7:47,6:56,7:17,7:17
7:51,7:57,7:57,7:01,7:25,7:25
7:58,8:07,8:07,7:06,7:33,7:33
8:05,8:16,8:16,7:11,7:41,7:41
8:11,8:25,8:25,7:16,7:49,7:49
8:17,8:34,8:34,7:21,7:57,7:57
8:23,8:43,8:43,7:26,8:05,8:05
8:28,8:52,8:52,7:31,8:13,8:13
8:33,9:01,9:01,7:36,8:21,8:21
8:38,9:10,9:10,7:41,8:29,8:29
8:43,9:19,9:19,7:46,8:37,8:37
8:48,9:28,9:28,7:51,8:45,8:45
8:53,9:37,9:37,7:56,8:53,8:53
8:58,9:46,9:46,8:01,9:01,9:01
9:03,9:55,9:55,8:06,9:09,9:09
9:08,10:04,10:04,8:11,9:17,9:17
9:13,10:12,10:12,8:16,9:25,9:25
9:18,10:20,10:20,8:22,9:33,9:33
9:23,10:28,10:28,8:28,9:41,9:41
9:28,10:36,10:36,8:34,9:49,9:49
9:33,10:44,10:44,8:40,9:57,9:57
9:39,10:52,10:52,8:47,10:05,10:05
9:45,11:00,11:00,8:54,10:13,10:13
9:52,11:08,11:08,9:01,10:21,10:21
9:59,11:16,11:16,9:08,10:29,10:29
10:06,11:24,11:24,9:15,10:37,10:37
10:13,11:32,11:32,9:22,10:45,10:45
10:20,11:40,11:40,9:29,10:53,10:53
10:27,11:48,11:48,9:36,11:01,11:01
10:34,11:56,11:56,9:43,11:09,11:09
10:41,12:04,12:04,9:50,11:17,11:17
10:48,12:12,12:12,9:57,11:25,11:25
10:55,12:20,12:20,10:04,11:33,11:33
11:03,12:28,12:28,10:11,11:41,11:41
11:11,12:36,12:36,10:18,11:49,11:49
11:19,12:44,12:44,10:26,11:57,11:57
11:27,12:52,12:52,10:34,12:05,12:05
11:35,13:00,13:00,10:42,12:13,12:13
11:43,13:08,13:08,10:50,12:21,12:21
11:51,13:16,13:16,10:58,12:29,12:29
11:59,13:24,13:24,11:06,12:36,12:37
12:07,13:32,13:32,11:14,12:43,12:45
12:15,13:40,13:40,11:22,12:49,12:53
12:23,13:47,13:48,11:30,12:55,13:01
12:31,13:54,13:56,11:38,13:01,13:09
12:39,14:00,14:04,11:46,13:07,13:17
12:47,14:06,14:12,11:54,13:13,13:25
12:55,14:12,14:20,12:02,13:19,13:33
13:03,14:18,14:28,12:10,13:25,13:41
13:11,14:24,14:36,12:18,13:31,13:49
13:19,14:30,14:44,12:26,13:37,13:57
13:27,14:36,14:52,12:34,13:43,14:05
13:35,14:42,15:00,12:42,13:49,14:13
13:43,14:48,15:08,12:50,13:55,14:21
13:51,14:54,15:16,12:58,14:01,14:29
13:59,15:00,15:24,13:06,14:07,14:37
14:07,15:06,15:32,13:14,14:13,14:45
14:15,15:12,15:40,13:22,14:19,14:53
14:23,15:18,15:48,13:30,14:25,15:01
14:31,15:24,15:56,13:38,14:31,15:09
14:39,15:30,16:04,13:46,14:37,15:17
14:47,15:36,16:12,13:54,14:45,15:25
14:55,15:42,16:20,14:02,14:53,15:33
15:03,15:49,16:28,14:10,15:01,15:41
15:11,15:56,16:36,14:18,15:09,15:49
15:19,16:04,16:44,14:26,15:17,15:57
15:27,16:12,16:52,14:34,15:25,16:05
15:35,16:20,17:00,14:42,15:33,16:13
15:43,16:28,17:08,14:50,15:41,16:21
15:51,16:36,17:16,14:58,15:49,16:29
15:59,16:44,17:24,15:06,15:57,16:37
16:07,16:52,17:32,15:14,16:05,16:45
16:15,17:00,17:40,15:22,16:13,16:53
16:23,17:08,17:48,15:30,16:21,17:01
16:31,17:16,17:56,15:38,16:29,17:09
16:39,17:24,18:04,15:46,16:37,17:17
16:47,17:32,18:12,15:54,16:45,17:25
16:55,17:40,18:19,16:02,16:53,17:33
17:03,17:48,18:26,16:10,17:01,17:40
17:11,17:56,18:33,16:18,17:09,17:47
17:19,18:04,18:40,16:26,17:16,17:54
17:27,18:12,18:47,16:34,17:22,18:01
17:35,18:20,18:54,16:42,17:28,18:08
17:43,18:27,19:01,16:50,17:34,18:15
17:50,18:33,19:08,16:58,17:40,18:22
17:57,18:39,19:15,17:06,17:46,18:29
18:04,18:45,19:22,17:13,17:52,18:36
18:11,18:51,19:29,17:20,17:58,18:43
18:18,18:57,19:36,17:27,18:04,18:50
18:25,19:03,19:43,17:33,18:10,18:57
18:32,19:09,19:50,17:39,18:16,19:04
18:39,19:15,19:57,17:44,18:22,19:11
18:46,19:21,20:04,17:49,18:28,19:18
18:53,19:27,20:11,17:54,18:34,19:25
18:58,19:33,20:18,17:59,18:40,19:32
19:03,19:39,20:25,18:04,18:46,19:39
19:08,19:45,20:32,18:09,18:52,19:46
19:13,19:51,20:39,18:14,18:58,19:54
19:18,19:57,20:46,18:19,19:04,20:02
19:23,20:03,20:53,18:24,19:10,20:10
19:28,20:09,21:00,18:29,19:16,20:18
19:33,20:15,21:07,18:34,19:22,20:26
19:38,20:21,21:14,18:39,19:30,20:34
19:43,20:27,21:21,18:44,19:38,20:42
19:48,20:33,21:29,18:49,19:46,20:50
19:53,20:39,21:37,18:54,19:54,20:59
19:58,20:45,21:45,18:59,20:02,21:08
20:03,20:51,21:53,19:04,20:10,21:17
20:08,20:58,22:01,19:11,20:18,21:26
20:13,21:05,22:09,19:18,20:26,21:35
20:18,21:13,22:17,19:26,20:34,21:44
20:24,21:21,22:25,19:34,20:42,21:53
20:30,21:29,22:33,19:42,20:50,22:02
20:37,21:37,22:41,19:50,20:59,22:12
20:44,21:45,22:50,19:58,21:08,22:22
20:51,21:53,22:59,20:06,21:17,22:33
20:58,22:01,23:08,20:14,21:26,22:44
21:05,22:09,23:18,20:22,21:35,22:55
21:12,22:17,23:28,20:30,21:44,23:06
21:19,22:25,23:38,20:39,21:53,23:17
21:27,22:33,23:49,20:48,22:02,23:31
21:35,22:41,,20:57,22:12,
21:43,22:50,,21:06,22:22,
21:51,22:59,,21:15,22:33,
21:59,23:08,,21:24,22:44,
22:07,23:18,,21:33,22:55,
22:15,23:28,,21:42,23:06,
22:23,23:38,,21:52,23:17,
22:32,23:49,,22:02,23:31,
22:41,,,22:12,,
22:50,,,22:22,,
22:59,,,22:33,,
23:08,,,22:44,,
23:18,,,22:55,,
23:28,,,23:06,,
23:38,,,23:17,,
23:49,,,23:31,,
