상행평일,상행토요일,상행휴일,하행평일,하행토요일,하행휴일
5:46,5:46,5:46,5:40,5:40,5:40
6:00,6:00,6:00,5:54,5:54,5:54
6:11,6:11,6:11,6:04,6:04,6:04
6:22,6:22,6:22,6:14,6:14,6:14
6:33,6:33,6:33,6:22,6:24,6:24
6:43,6:44,6:44,6:29,6:34,6:34
6:53,6:54,6:54,6:36,6:44,6:44
7:03,7:04,7:04,6:43,6:53,6:53
7:13,7:14,7:14,6:50,7:02,7:02
7:23,7:24,7:24,6:57,7:11,7:11
7:31,7:34,7:34,7:03,7:20,7:20
7:38,7:44,7:44,7:08,7:29,7:29
7:46,7:54,7:54,7:13,7:37,7:37
7:52,8:03,8:03,7:18,7:45,7:45
7:58,8:12,8:12,7:23,7:53,7:53
8:04,8:21,8:21,7:28,8:01,8:01
8:11,8:30,8:30,7:33,8:09,8:09
8:16,8:39,8:39,7:38,8:17,8:17
8:21,8:48,8:48,7:43,8:25,8:25
8:26,8:57,8:57,7:48,8:33,8:33
8:31,9:06,9:06,7:53,8:41,8:41
8:36,9:15,9:15,7:58,8:49,8:49
8:40,9:24,9:24,8:03,8:57,8:57
8:45,9:33,9:33,8:08,9:05,9:05
8:50,9:42,9:42,8:13,9:13,9:13
8:55,9:51,9:51,8:18,9:21,9:21
9:00,9:59,9:59,8:23,9:29,9:29
9:05,10:07,10:07,8:28,9:37,9:37
9:10,10:15,10:15,8:34,9:45,9:45
9:16,10:23,10:23,8:40,9:53,9:53
9:21,10:31,10:31,8:46,10:01,10:01
9:26,10:39,10:39,8:52,10:09,10:09
9:32,10:47,10:47,8:59,10:17,10:17
9:39,10:55,10:55,9:06,10:25,10:25
9:46,11:03,11:03,9:13,10:33,10:33
9:53,11:11,11:11,9:20,10:41,10:41
10:00,11:19,11:19,9:27,10:49,10:49
10:07,11:27,11:27,9:34,10:57,10:57
10:14,11:35,11:35,9:41,11:05,11:05
10:21,11:43,11:43,9:48,11:13,11:13
10:28,11:51,11:51,9:55,11:21,11:21
10:35,11:59,11:59,10:02,11:29,11:29
10:42,12:07,12:07,10:09,11:37,11:37
10:50,12:15,12:15,10:16,11:45,11:45
10:58,12:23,12:23,10:23,11:53,11:53
11:06,12:31,12:31,10:30,12:01,12:01
11:14,12:39,12:39,10:38,12:09,12:09
11:22,12:47,12:47,10:46,12:17,12:17
11:30,12:55,12:55,10:54,12:25,12:25
11:38,13:03,13:03,11:02,12:33,12:33
11:46,13:11,13:11,11:10,12:41,12:41
11:54,13:19,13:19,11:18,12:48,12:49
12:02,13:27,13:27,11:26,12:55,12:57
12:10,13:34,13:35,11:34,13:01,13:05
12:18,13:41,13:43,11:42,13:07,13:13
12:26,13:47,13:51,11:50,13:13,13:21
12:34,13:53,13:59,11:58,13:19,13:29
12:42,13:59,14:07,12:06,13:25,13:37
12:50,14:05,14:15,12:14,13:31,13:45
12:58,14:11,14:23,12:22,13:37,13:53
13:06,14:17,14:31,12:30,13:43,14:01
13:14,14:23,14:39,12:38,13:49,14:09
13:22,14:29,14:47,12:46,13:55,14:17
13:30,14:35,14:55,12:54,14:01,14:25
13:38,14:41,15:03,13:02,14:07,14:33
13:46,14:47,15:11,13:10,14:13,14:41
13:54,14:53,15:19,13:18,14:19,14:49
14:02,14:59,15:27,13:26,14:25,14:57
14:10,15:05,15:35,13:34,14:31,15:05
14:18,15:11,15:43,13:42,14:37,15:13
14:26,15:17,15:51,13:50,14:43,15:21
14:34,15:23,15:59,13:58,14:49,15:29
14:42,15:29,16:07,14:06,14:57,15:37
14:50,15:36,16:15,14:14,15:05,15:45
14:58,15:43,16:23,14:22,15:13,15:53
15:06,15:51,16:31,14:30,15:21,16:01
15:14,15:59,16:39,14:38,15:29,16:09
15:22,16:07,16:47,14:46,15:37,16:17
15:30,16:15,16:55,14:54,15:45,16:25
15:38,16:23,17:03,15:02,15:53,16:33
15:46,16:31,17:11,15:10,16:01,16:41
15:54,16:39,17:19,15:18,16:09,16:49
16:02,16:47,17:27,15:26,16:17,16:57
16:10,16:55,17:35,15:34,16:25,17:05
16:18,17:03,17:43,15:42,16:33,17:13
16:26,17:11,17:51,15:50,16:41,17:21
16:34,17:19,18:00,15:58,16:49,17:29
16:42,17:27,18:07,16:06,16:57,17:37
16:50,17:35,18:14,16:14,17:05,17:45
16:58,17:43,18:21,16:22,17:13,17:52
17:06,17:51,18:28,16:30,17:21,17:59
17:14,17:59,18:35,16:38,17:28,18:06
17:22,18:07,18:42,16:46,17:34,18:13
17:30,18:14,18:49,16:54,17:40,18:20
17:37,18:20,18:56,17:02,17:46,18:27
17:44,18:26,19:03,17:10,17:52,18:34
17:51,18:32,19:10,17:18,17:58,18:41
17:59,18:38,19:17,17:25,18:04,18:48
18:05,18:44,19:24,17:32,18:10,18:55
18:12,18:50,19:31,17:39,18:16,19:02
18:19,18:56,19:38,17:45,18:22,19:09
18:26,19:02,19:45,17:51,18:28,19:16
18:34,19:08,19:52,17:56,18:34,19:23
18:40,19:14,19:59,18:01,18:40,19:30
18:45,19:20,20:06,18:06,18:46,19:37
18:50,19:26,20:12,18:11,18:52,19:44
18:55,19:32,20:19,18:16,18:58,19:51
19:00,19:38,20:26,18:21,19:04,19:58
19:05,19:44,20:33,18:26,19:10,20:06
19:10,19:50,20:40,18:31,19:16,20:14
19:15,19:56,20:47,18:36,19:22,20:22
19:20,20:02,20:54,18:41,19:28,20:30
19:25,20:08,21:01,18:46,19:34,20:38
19:31,20:14,21:08,18:51,19:42,20:46
19:35,20:20,21:16,18:56,19:50,20:54
19:40,20:26,21:24,19:01,19:58,21:02
19:46,20:32,21:32,19:06,20:06,21:11
19:50,20:38,21:40,19:11,20:14,21:20
19:55,20:45,21:48,19:16,20:22,21:29
20:00,20:52,21:56,19:23,20:30,21:38
20:06,21:00,22:04,19:30,20:38,21:47
20:11,21:08,22:12,19:38,20:46,21:56
20:17,21:16,22:20,19:46,20:54,22:05
20:24,21:24,22:28,19:54,21:02,22:14
20:31,21:32,22:37,20:02,21:11,22:24
20:38,21:40,22:46,20:10,21:20,22:34
20:45,21:48,22:55,20:18,21:29,22:45
20:52,21:56,23:05,20:26,21:38,22:56
20:59,22:04,23:15,20:34,21:47,23:07
21:06,22:12,23:25,20:42,21:56,23:18
21:14,22:20,23:36,20:51,22:05,23:29
21:22,22:28,23:49,21:00,22:14,23:44
21:30,22:37,,21:09,22:24,
21:38,22:46,,21:18,22:34,
21:46,22:55,,21:27,22:45,
21:54,23:05,,21:36,22:56,
22:02,23:15,,21:45,23:07,
22:10,23:25,,21:54,23:18,
